Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,34025.0,1.0,
Agricultural Bank of China Ltd,Bio-remediation,2318522.0,1.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,248682.0,1.0,
Agricultural Bank of China Ltd,Climate regulation,3069913.0,1.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,1386250.0,1.0,
Agricultural Bank of China Ltd,Disease control,127630.0,1.0,
Agricultural Bank of China Ltd,Fibres and other materials,209066.0,1.0,
Agricultural Bank of China Ltd,Filtration,3534772.0,1.0,
Agricultural Bank of China Ltd,Flood and storm protection,3314633.0,1.0,
Agricultural Bank of China Ltd,Genetic materials,176309.0,1.0,
Agricultural Bank of China Ltd,Ground water,6721132.0,1.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,1154.0,0.37453206474223033,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,6257177.0,1.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,560417.0,1.0,
Agricultural Bank of China Ltd,Pest control,277403.0,1.0,
Agricultural Bank of China Ltd,Pollination,127467.0,1.0,
Agricultural Bank of China Ltd,Soil quality,594819.0,1.0,
Agricultural Bank of China Ltd,Surface water,6710092.0,1.0,
Agricultural Bank of China Ltd,Ventilation,576020.0,1.0,
Agricultural Bank of China Ltd,Water flow maintenance,3203742.0,1.0,
Agricultural Bank of China Ltd,Water quality,2416813.0,1.0,
BNP Paribas SA,Animal-based energy,162464.0,1.935003056670927e-29,
BNP Paribas SA,Bio-remediation,2603810.0,1.0,
BNP Paribas SA,Buffering and attenuation of mass flows,511638.0,0.3591248647842876,
BNP Paribas SA,Climate regulation,3247995.0,1.0,
BNP Paribas SA,Dilution by atmosphere and ecosystems,1758595.0,1.0,
BNP Paribas SA,Disease control,343076.0,2.039415270555377e-05,
BNP Paribas SA,Fibres and other materials,459334.0,0.16511717897787132,
BNP Paribas SA,Filtration,3847007.0,1.0,
BNP Paribas SA,Flood and storm protection,3564181.0,1.0,
BNP Paribas SA,Genetic materials,375565.0,4.4333486081155985e-06,
BNP Paribas SA,Ground water,6773924.0,1.0,
BNP Paribas SA,Maintain nursery habitats,24741.0,1.140041411712237e-105,
BNP Paribas SA,Mass stabilisation and erosion control,6135452.0,1.0,
BNP Paribas SA,Mediation of sensory impacts,819526.0,0.9998604002527844,
BNP Paribas SA,Pest control,542348.0,0.48894551539032627,
BNP Paribas SA,Pollination,337297.0,2.6649343133219195e-06,
BNP Paribas SA,Soil quality,956979.0,0.9999999999999998,
BNP Paribas SA,Surface water,6760868.0,1.0,
BNP Paribas SA,Ventilation,847267.0,0.9999927319118035,
BNP Paribas SA,Water flow maintenance,3466350.0,1.0,
BNP Paribas SA,Water quality,2768256.0,1.0,
Banco Santander SA,Animal-based energy,636520.0,0.0,
Banco Santander SA,Bio-remediation,3962552.0,0.016438604565402658,
Banco Santander SA,Buffering and attenuation of mass flows,1505243.0,7.988616344642612e-150,
Banco Santander SA,Climate regulation,4292914.0,0.027388633740320096,
Banco Santander SA,Dilution by atmosphere and ecosystems,3226281.0,2.0137256611858978e-10,
Banco Santander SA,Disease control,1144003.0,5.543622662515326e-207,
Banco Santander SA,Fibres and other materials,1439532.0,7.353098693194444e-155,
