Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Cultivation of wheat,0.01165767706458069,0.007237174440472994,0.00780114466697098,0.008617758637073144,0.00522084727666546,0.011802131652485323,0.006218010278739045,0.007955282249930633,0.009821250239873108,5.972299691782543e-07,0.01275460933932191,0.0,0.007322211616742882,0.0,0.010518960396437507,0.01052832006657346,0.010051586569001769,0.010488537600821036,0.004976573828054793,0.012318895355210956,0.012066943851127726
System,AT,Cultivation of cereal grains nec,0.027874546080664645,0.01730472986318127,0.01865323299802998,0.020605829867339984,0.012483511696826915,0.028219949890086086,0.014867817412043929,0.019021789712645547,0.023483485677678488,1.428030147377561e-06,0.03049740902928263,0.0,0.017508061339544297,0.0,0.02515177291898419,0.025174152725446416,0.024034240393629176,0.02507902930002682,0.011899432084579924,0.02945557801433784,0.028853139486339947
System,AT,"Cultivation of vegetables, fruit, nuts",0.048283985669987796,0.02997506493267824,0.03231092740199154,0.035693194470456005,0.02162380324100846,0.04888229039345135,0.02575387167883191,0.03294933733611491,0.04067783857936658,2.4736182958013083e-06,0.052827280353923804,0.0,0.03032727350542267,0.0,0.04356762760120479,0.04360639365864631,0.04163184991055333,0.043441621895312525,0.020612066886764185,0.051022631996581164,0.04997909452807056
System,AT,Cultivation of oil seeds,0.005042025623226443,0.0031301277918815663,0.0033740487992132222,0.00372723996574927,0.0022580524059872876,0.005104503227432919,0.002689332272390866,0.003440714365473074,0.004247758373064882,2.583060751189034e-07,0.005516456387224299,0.0,0.003166906956315816,0.0,0.0045495228212902765,0.004553570943089242,0.004347380421865253,0.004536364752647727,0.002152402457018387,0.005328007088095894,0.0052190363272521445
System,AT,"Cultivation of sugar cane, sugar beet",0.003152767305906992,0.0019572618830207477,0.0021097851414501718,0.002330634785184716,0.0014119551015025881,0.003191834411592886,0.0016816334340024207,0.0021514709704086015,0.002656113777030319,1.6151820903101736e-07,0.0034494277978248727,0.0,0.0019802598119945157,0.0,0.002844806409227075,0.0028473376907023843,0.0027184072205539748,0.0028365786984367912,0.0013458924255325391,0.0033315908740345237,0.003263451701852345
System,AT,Cultivation of plant-based fibers,5.009535085409482e-05,3.10995741929846e-05,3.3523066129771754e-05,3.703221834920619e-05,2.2435016395747872e-05,5.071610087345784e-05,2.6720023620675276e-05,3.4185425899680485e-05,4.22038605004026e-05,2.5664156487458e-09,5.48090864346848e-05,0.0,3.1464995808052705e-05,0.0,4.520205944637899e-05,4.5242279805610225e-05,4.3193661397976146e-05,4.50713266587124e-05,2.1385324931084605e-05,5.293673701334159e-05,5.185405142123385e-05
System,AT,Cultivation of crops nec,0.01115245085946781,0.006923526176067962,0.007463054780469901,0.008244277928294925,0.004994583601453724,0.011290645002615406,0.005948531057529104,0.007610512272218194,0.009395612013606672,5.71346919816356e-07,0.012201843737864183,0.0,0.007004877968910058,0.0,0.010063084460486973,0.010072038496584713,0.009615965912374581,0.010033980143113904,0.004760896597017802,0.011785012943044501,0.011543980638521807
System,AT,Cattle farming,0.0,0.010298999139580964,0.005550783864180962,0.009810932652609336,0.004953084204572251,0.01343619886285052,0.014747763563752944,0.011320916156030168,0.013976317498221277,2.8329983334844196e-07,0.018150690119717844,0.0,0.004168005166156315,0.00728707658069017,0.008981524347376304,0.0029965053405507365,0.01144328160411809,0.014925913505997873,0.003541004158098455,0.014024511218564876,0.017172094629242345
System,AT,Pigs farming,0.0,0.01492324826395354,0.008043085016520372,0.014216039994909096,0.0071770182961784345,0.01946905020931255,0.021369507271259754,0.016404005873012883,0.020251682033860265,4.105014175549759e-07,0.02630034735876857,0.0,0.006039438883041052,0.010558972911663498,0.01301422748056403,0.004341935805144723,0.01658131338959748,0.021627646511811066,0.005130914513033455,0.020321514727669028,0.024882362634580556
System,AT,Poultry farming,0.0,0.00930334663082211,0.005014163576612436,0.00886246381826471,0.004474246343966617,0.012137258555673809,0.013322028150842668,0.01022647014050611,0.012625161391524052,2.5591191089291896e-07,0.016395977850255813,0.0,0.0037650645751376574,0.006582600739809844,0.008113238300572362,0.0027068191274154632,0.010337005947313073,0.013482955503345868,0.0031986786927057365,0.012668695999082397,0.015511987771621494
System,AT,Meat animals nec,0.0,0.0014867313431462163,0.000801293818754885,0.0014162755897389478,0.0007150117630245405,0.0019396076950209534,0.002128941078097162,0.0016342520913139177,0.0020175775339674336,4.089627895282699e-08,0.0026201769254460597,0.0,0.000601680205516754,0.0010519396113727254,0.0012965447977519215,0.0004325661502951701,0.001651916385147216,0.0021546582472439495,0.0005111682986576354,0.002024534628885743,0.0024789099374374884
System,AT,Animal products nec,0.0,0.0010566673508442316,0.0005695050559166904,0.0010065922013239117,0.0005081816489176553,0.001378541008248127,0.0015131062780554762,0.0011615150483650564,0.0014339566578509524,2.9066288902621486e-08,0.0018622432514910539,0.0,0.0004276332988805996,0.0007476470093413576,0.0009214957113853322,0.00030743854981224575,0.0011740696249907608,0.001531384289828634,0.0003633036018700493,0.0014389012869467142,0.0017618403006358766
System,AT,Raw milk,0.0,0.0209539351484811,0.011293404683012287,0.019960934432824505,0.010077348662813441,0.02733675727112648,0.030005214789500884,0.02303308697669235,0.0284356612233124,5.763906040874068e-07,0.03692867418612278,0.0,0.008480057990734724,0.014825996975470166,0.018273453192761826,0.006096570912086908,0.02328204686385217,0.030367671595828743,0.007204386609193932,0.02853371425516117,0.03493766261634669
System,AT,"Wool, silk-worm cocoons",0.0,0.0001676634139340851,9.03644480464224e-05,0.00015971789492554497,8.063414667644729e-05,0.00021873571801603707,0.0002400874447584557,0.00018429979708288292,0.00022752862430803282,4.612003223071416e-09,0.00029548567093631004,0.0,6.78533871089443e-05,0.00011863056987956443,0.0001462154733682681,4.878185816499603e-05,0.0001862918555825431,0.00024298765157507266,5.76460719974129e-05,0.00022831319799072574,0.0002795545441763268
System,AT,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Forestry, logging and related service activities (02)",2.50629219077314,1.5559252227470108,0.0,1.8527379901169936,0.0,2.5373485842193726,2.2280240047564637,0.5701039085787043,2.1114774961994685,0.0,2.7421224319747837,0.0,1.5742074250785687,0.0,2.2614786934477085,1.8107927484101953,1.7287981324725734,2.254938075222255,0.0,2.6484479761000523,0.0
System,AT,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",0.0,0.00048752578376970863,0.0006568964171287379,0.0005805276034776185,0.00035169770763905016,0.00047702402627082264,0.0006981178358037559,0.0003572669827529362,0.0005292797911865332,4.023186275379565e-08,0.00017184057026606525,0.0006277396554576037,0.0003946033896783544,0.0,0.000425160215818749,0.0,0.0004062696838791182,0.0007065509552791908,0.0005028636678512195,0.0006638810947697683,0.0008128788807171029
System,AT,Mining of coal and lignite; extraction of peat (10),0.0,0.0,0.0,0.025260071491386562,0.0,0.0,0.0,0.0,0.0,0.0,0.03738586299806154,0.0,0.016096957170362716,0.0,0.0,0.0,0.0,0.030743633094697305,0.0,0.036108713468589744,0.0
System,AT,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.0,0.6327428275441915,0.0,0.4520680007341647,0.0,0.0,0.0,0.6955266625305009,0.6869339074701354,0.0,1.1151296191579223,0.0,0.38410655321598275,0.0,0.0,0.0,0.0,0.73360640873687,0.0,0.0,0.8440058738371978
System,AT,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.0,1.069242579291279,0.0,0.7639286200937471,0.0,0.0,0.0,1.1753380524222974,1.1608175565999694,0.0,1.884405509360347,0.0,0.6490837411422988,0.0,0.0,0.0,0.0,1.239687238663546,0.0,0.0,1.4262461432889924
System,AT,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.007904170969532567,0.0,0.005647196004616985,0.0,0.0,0.0,0.008688461433607485,0.008581121449430892,0.0,0.013930106797454551,0.0,0.004798227233836082,0.0,0.0,0.0,0.0,0.009164150467744388,0.0,0.0,0.010543251437540828
System,AT,Mining of uranium and thorium ores (12),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of iron ores,0.0,0.0,0.0,0.13465965211238534,0.0,0.0,0.0,0.0,0.0,0.0,0.265735183790325,0.0,0.11441565150851582,0.0,0.0,0.0,0.0,0.2185228408723721,0.0,0.19249299415340623,0.0
System,AT,Mining of copper ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of nickel ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of aluminium ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of precious metal ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Mining of lead, zinc and tin ores and concentrates",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of other non-ferrous metal ores and concentrates,0.0,0.0,0.0,0.7609445793715772,0.0,0.0,0.0,0.0,0.0,0.0,1.1262268122718513,0.0,0.4849112286693529,0.0,0.0,0.0,0.0,0.9261336002780409,0.0,1.0877534448536348,0.0
System,AT,Quarrying of stone,0.0,0.0,0.0,26.11610006106392,0.0,0.0,0.0,0.0,0.0,0.0,38.652817719044705,0.0,16.642460583819087,0.0,0.0,0.0,0.0,31.785491914206716,0.0,37.3323873744196,0.0
System,AT,Quarrying of sand and clay,0.0,0.0,0.0,1.8856111369360027,0.0,0.0,0.0,0.0,0.0,0.0,2.7907759349432815,0.0,1.2016039511831043,0.0,0.0,0.0,0.0,2.294947461767988,0.0,2.6954394123556167,0.0
System,AT,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.0,0.0,0.0,0.25563700268024026,0.0,0.0,0.0,0.0,0.0,0.0,0.37835245093021486,0.0,0.1629044432715439,0.0,0.0,0.0,0.0,0.31113174871691757,0.0,0.3654274408881816,0.0
System,AT,Processing of meat cattle,0.0,0.023927553456092918,0.0,0.0,0.017261170547430593,0.0,0.0,0.026301762222147262,0.02922392473026856,0.0,0.06325395345001407,0.0,0.014525222072579138,0.0,0.0,0.0,0.009969769704733686,0.052015820438787934,0.0,0.03665586985648288,0.035906167770580075
System,AT,Processing of meat pigs,0.0,0.038488455980672846,0.0,0.0,0.027765304296937944,0.0,0.0,0.042307468641072585,0.04700788748115921,0.0,0.10174659132751669,0.0,0.02336441840474093,0.0,0.0,0.0,0.016036785504302254,0.08366959116528817,0.0,0.058962477546790744,0.057756550840375176
System,AT,Processing of meat poultry,0.0,0.010558314803522385,0.0,0.0,0.007616694822205197,0.0,0.0,0.011605962387187106,0.012895401013848652,0.0,0.027911552023825344,0.0,0.006409425331126376,0.0,0.0,0.0,0.0043992783154516045,0.022952593459419003,0.0,0.01617483434116584,0.015844019465071454
System,AT,Production of meat products nec,0.0,0.0719683423679848,0.0,0.0,0.051917461344688026,0.0,0.0,0.07910939294141733,0.08789855695792528,0.0,0.19025272209181884,0.0,0.043688384481456274,0.0,0.0,0.0,0.029986676270804872,0.15645111318044377,0.0,0.11025206553058171,0.10799714145356513
System,AT,Processing vegetable oils and fats,0.0,0.014860330241261661,0.0,0.0,0.010720138820554637,0.0,0.0,0.016334844816686497,0.01814966888422017,0.0,0.03928419339058027,0.0,0.009020963936922066,0.0,0.0,0.0,0.0061917767946284685,0.03230469303554004,0.0,0.022765316660878134,0.022299710321328135
