Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality,Total
System,DE,"Manufacture of motor vehicles, trailers and semi-trailers (34)",0,0,0,56936.40104,117206.6555,0,0,82919.22323,203667.4698,0,245777.6059,0,57366.1924,239367.677,0,0,0,194855.8872,77820.6803,233919.744,164630.6291,1674468.165
System,US,"Manufacture of motor vehicles, trailers and semi-trailers (34)",0,0,0,56867.83211,116231.0763,0,0,84430.97113,193751.4733,0,245659.0796,0,50922.13623,244830.9137,0,0,0,202004.6435,79499.77949,238187.7565,157662.7728,1670048.435
System,US,"Manufacture of bricks, tiles and construction products, in baked clay",0,0,0,0,41244.5764,0,0,0,0,0,145286.7999,0,0,57918.80364,0,0,0,119468.8521,0,0,55946.60641,419865.6385
System,US,"Recreational, cultural and sporting activities (92)",0,0,0,0,0,0,0,0,92564.42444,0,117363.1917,0,48655.92143,0,0,0,0,128676.4826,0,0,75323.11145,462583.1316
System,CN,Manufacture of office machinery and computers (30),0,0,0,0,62667.38585,0,0,0,0,0,116549.3264,0,0,0,0,0,0,103406.0858,0,0,0,282622.798
System,US,Manufacture of office machinery and computers (30),0,0,0,0,48856.4962,0,0,0,0,0,103260.1803,0,0,0,0,0,0,84910.50256,0,0,0,237027.179
System,WA,Real estate activities (70),0,55048.92458,0,0,0,0,0,30342.53894,25213.9768,0,85844.08337,0,46131.79922,57997.57274,0,0,0,102971.5896,0,0,0,403550.4853
System,US,Health and social work (85),0,13115.7442,0,0,9825.892964,0,0,0,0,0,83069.68837,0,34438.67001,0,0,0,0,79692.58299,0,0,0,220142.5785
System,US,Manufacture of machinery and equipment n.e.c. (29),0,0,0,18235.02474,37270.2189,0,0,27073.31702,62127.61727,0,78772.11468,0,16328.5003,78506.55814,0,0,0,64774.04774,25492.0997,76376.38839,50555.55056,535511.4374
System,CN,Construction (45),0,98293.61597,0,136905.9627,0,0,0,104575.053,174155.6239,0,75873.38023,0,120089.6732,101229.9436,43407.95531,0,67912.61496,67317.15663,48954.88532,150336.2429,0,1189052.108
