Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Cultivation of wheat,4.8977626828381995e-05,0.0006055473639149147,0.00018532575224084895,0.0007313802966852131,0.0002897630696445977,0.0001936068874589653,0.00014743506609360895,0.00050660039261566,0.0011481356207370375,1.362556395925639e-07,0.001122974194227513,9.075723482233091e-09,0.001359146440666681,0.0003393852083957964,0.00019033060556870854,0.0001790121408778839,0.00019616666052910386,0.000990083345874984,0.00021241012766591146,0.0006800394765341227,0.0006205681647358751
System,AT,Cultivation of cereal grains nec,6.352175560088044e-05,0.001324502348652103,0.00024825524500081305,0.0015267695803332937,0.0005544120895193702,0.0002572508056538245,0.00020894756250051656,0.0011081870159256144,0.0025114141973836385,2.322072249342165e-07,0.0024487549856168655,2.8850756742828618e-08,0.0029109405087439323,0.0008229961111225757,0.00026408550731251844,0.00023545887337772444,0.0002730823263807265,0.0021641766981115537,0.0004098817969016194,0.0014545530452626375,0.0013135286589601308
System,AT,"Cultivation of vegetables, fruit, nuts",0.000748133568646327,0.004816091460547887,0.002723835979203452,0.005945449315954019,0.002614271729539353,0.002787533795431748,0.002169758724826999,0.00421914169482549,0.00837092293748714,3.949115902507052e-06,0.008564265499609945,2.4166539780441734e-08,0.0107133848727394,0.0016607585912474633,0.002674959318983293,0.0026296880677719485,0.002758052505095313,0.007944729887600314,0.0019160982108374228,0.006506491726531685,0.005037081519784123
System,AT,Cultivation of oil seeds,3.87957260630689e-06,0.000211840352909913,1.764901421802603e-05,0.0003059491306994931,8.233454868868909e-05,1.62797594757231e-05,1.67119786532454e-05,0.00015032930331734993,0.000443049170276743,5.179960023115613e-08,0.0003832088724891462,4.424559381360003e-09,0.0005336181622680683,0.00015782788173506718,2.1907456448736137e-05,1.4776383838556533e-05,2.143451272074389e-05,0.00034087325604756504,6.247053218505098e-05,0.00021842833555609686,0.00017466825265726878
System,AT,"Cultivation of sugar cane, sugar beet",7.159211445013658e-05,0.00030561472385640684,0.00025595460739443566,0.00037812115551817357,0.00021646169504902987,0.0002616013266909484,0.00018695728900808975,0.00027701002479032616,0.0005181745464051494,1.7656984801972774e-07,0.0005243528620788472,1.7220167859036939e-09,0.0006295642835948239,8.683399780746793e-05,0.00025016614824595947,0.0002481402312896252,0.00025223249599555194,0.0004418541605745411,0.00016179432766527175,0.00037651257886487126,0.00034547291287944233
System,AT,Cultivation of plant-based fibers,4.4618778451106824e-08,3.906094429712333e-06,2.4685664428951986e-07,1.080479158737384e-05,6.445329032380202e-07,2.0090619408623063e-07,5.64791645186708e-07,1.7722083490323192e-06,1.1781184691567486e-05,2.3143688237062976e-09,6.855994492338702e-06,2.186574127845262e-11,1.3771242690678867e-05,2.752979539018394e-06,4.951124977907841e-07,1.8228890726995176e-07,3.444814300421878e-07,5.755559708883013e-06,1.1531477922520768e-06,3.5596822132209877e-06,1.4082560280395157e-06
System,AT,Cultivation of crops nec,1.1392024853552007e-05,0.000553676126760451,5.246175567344776e-05,0.0007386518573160166,0.00018044349721913223,4.5763014184140924e-05,6.793885083115739e-05,0.0004534627514458832,0.0011789338085832655,2.1524232850535705e-07,0.0011030876520386275,8.546792002321316e-09,0.0014098919860887629,0.0003180172437284872,5.6985694547024864e-05,4.1985319417126184e-05,6.145449929248364e-05,0.001066604118046552,0.00012139155090819473,0.000674470104326006,0.0005750958400929993
System,AT,Cattle farming,6.652888448429113e-05,0.0013026494216523124,0.00026825924964210595,0.0010355571566209529,0.0008466928294051313,0.0002814820148871722,0.0002665645786298401,0.0013154611158465563,0.002364970065489031,1.1746172943568911e-07,0.0030684945344340276,1.753603955467251e-07,0.002363332595384999,0.000358131564970784,0.00026476350091133834,0.0002433060526587972,0.0005937631696687981,0.0027464500658321454,0.00024355040558343314,0.001961988458056397,0.0017769251182638652
System,AT,Pigs farming,0.00016088863832335097,0.0030563974368772438,0.0006535871053069828,0.0019659645135215124,0.002167466004865324,0.0007141392440809459,0.000663260720429952,0.0031248234071179957,0.005255044721934084,2.67002486340136e-07,0.007344884762086311,1.8719104611197003e-07,0.004978096142892425,0.000667727890172656,0.0006419938534502123,0.0005982830356330541,0.0015821019302078101,0.00640226237187745,0.0005325711915848331,0.004484683131030547,0.004356530359233945
System,AT,Poultry farming,7.260744914855985e-05,0.0016949416039883885,0.00030257004810552916,0.001390637549260695,0.0010968304883553657,0.00032223847716921427,0.00032072076247665205,0.0016804097165034266,0.003136746968042777,1.2335883201082287e-07,0.00402169722426166,1.1069069132279291e-07,0.003115191429631917,0.00042325053114964414,0.00030131162397277093,0.0002722312584717941,0.0007627933477656,0.003613951368326501,0.00027667367027163123,0.002544231784473113,0.002314821844720654
System,AT,Meat animals nec,1.3597250169322399e-05,0.00021217083937676758,5.492270714506428e-05,0.00043218995573013195,7.464446007330301e-05,6.0297450379424844e-05,4.993706806694254e-05,0.00014077036177298892,0.0005173549795468836,3.333911639576645e-08,0.00037217691089489076,3.1359234191237295e-09,0.0006031477015943784,0.00010435434963957592,6.355222154271874e-05,5.3985118831959e-05,7.153587533606323e-05,0.00031367834988595453,6.800682868445386e-05,0.00022321535773254692,0.00015085311664255673
System,AT,Animal products nec,7.935309517746275e-06,0.00015952042510160102,4.196608974365516e-05,0.0003323989702102816,5.500722632641595e-05,5.12074280124781e-05,5.467652182758524e-05,0.00010684437610522003,0.00038713610695064924,2.3371993162048957e-08,0.0002771766229132375,1.892633888264198e-09,0.0004468517355322049,8.768753610926424e-05,4.8460693891664085e-05,3.6557062195568854e-05,6.26510297122579e-05,0.0002340367390553817,5.149091714351961e-05,0.00016185058929740696,0.00010980481940468884
System,AT,Raw milk,0.0003191236145145437,0.002524995259401366,0.0012042368188665404,0.002428198665442101,0.0017546049317585222,0.0012639928475710685,0.0010320009697091974,0.002503579190186981,0.0044589159745983395,4.95705672097075e-07,0.005368807047491565,2.485543220861876e-07,0.004695676896849817,0.0006451188239201445,0.0011697232093874652,0.0011382635621907525,0.0016522996148077695,0.004708459090032852,0.0008148157356082895,0.0035381358281394567,0.0032948018193503046
System,AT,"Wool, silk-worm cocoons",2.208075572466047e-07,2.099346065396315e-05,1.2397207603475786e-06,6.0287827399685584e-05,3.818735306576886e-06,1.3120972106755532e-06,1.6521945838810392e-06,9.888427863858935e-06,6.613465374070424e-05,9.314088702845455e-10,3.613120572710555e-05,1.6996684397901595e-10,7.485292705154251e-05,1.4552264153147339e-05,2.6125867065039067e-06,1.0031301492444526e-06,2.0660495193379077e-06,3.026411983813208e-05,6.331489913008515e-06,1.896363549666507e-05,8.291243994697335e-06
System,AT,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Forestry, logging and related service activities (02)",5.345722066115993e-05,0.037397293459969415,0.0010399334885987856,0.08050246812026551,0.02062133744174288,0.000259415778161252,0.001704825351411847,0.0345125208470422,0.42566080569759235,9.068822419700426e-07,0.46592208335015006,1.4064117523278554e-06,0.41102333541605646,0.03588655462819858,0.0013480756895630599,0.00021350936071555857,0.0016912956688268246,0.5684670774379412,0.010430958509081384,0.3290379520763468,0.04191464793083468
System,AT,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3.726196515955681e-07,8.866112513374059e-05,1.6514090979302103e-05,0.00011273103954468385,3.501532482424249e-05,2.9546090786672245e-06,6.6204852297585435e-06,6.308261870601247e-05,0.00017260527833531182,5.343279080705446e-09,0.00017603553566021375,1.155218261676504e-05,0.00021972951755090895,4.550051745924812e-05,1.3823668185681115e-05,1.8350380079224296e-06,1.999039926270183e-05,0.00017869559666706752,1.7054324155778252e-05,0.00010562847143399526,9.259298941184223e-05
System,AT,Mining of coal and lignite; extraction of peat (10),1.4519301882886676e-05,0.0004755409198643318,6.956377692819186e-05,0.0010118549206444938,0.00010731049038681654,6.042070384789566e-05,0.0003897687343895969,0.0003703288417579154,0.0014323249443575425,5.3847838228178404e-06,0.0013797461834268636,1.0502654000069907e-07,0.0016927446276275649,0.0002237546902843027,8.370292621049536e-05,5.538927497263856e-05,8.186732956381766e-05,0.0012363774062137526,0.00010998601151733673,0.0006150875711194568,0.0005533963628982797
System,AT,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",4.240405516023459e-05,0.10659802442404592,0.0014058052082331662,0.10322089258812497,0.014976067253175324,0.0003249933453419918,0.0036539704036720804,0.03637822438589471,0.1116066554076322,2.458925040178158e-06,0.10999750876158709,4.380292301766535e-07,0.21591966884134625,0.0381594537791158,0.002647330534374712,0.0002017498407266357,0.002649017589492507,0.10279834393091106,0.0108825601288807,0.06472728501355508,0.03791751076540306
System,AT,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",8.011146714604229e-05,0.20784470811473077,0.002642382829788774,0.18680552400537462,0.02667631978490125,0.000623566762455531,0.006808638115143397,0.07006202380758608,0.2092391893057014,3.6808273455896315e-06,0.2026887328560105,8.362858613887437e-07,0.40785499009409376,0.06905103247733742,0.004763903343422538,0.0003835593515636521,0.005012189344186819,0.18995647605754046,0.019704848983974267,0.12323407224773356,0.0712096582561433
System,AT,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of uranium and thorium ores (12),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of iron ores,5.192327819894408e-06,0.013171059868933997,0.00020455829273215135,0.01341737312293322,0.0027085839471453375,3.864867332091899e-05,0.00047543315153889264,0.0061938381840706,0.018045693833742785,2.1123563917474656e-07,0.01775323120674046,6.659623192555025e-08,0.03007143295107929,0.00610162018072832,0.0003596079309395851,2.4485170345149983e-05,0.00037168020317653727,0.016891323154908332,0.0017704385840116871,0.010734881746797785,0.006634809760177235
System,AT,Mining of copper ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of nickel ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of aluminium ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of precious metal ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Mining of lead, zinc and tin ores and concentrates",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
