Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Cultivation of wheat,0.00224405125711692,0.006971354261776343,0.00749782059881878,0.006616553743778191,0.005005681654835147,0.009092120012954246,0.005980277321115777,0.007679758052910369,0.00946653150852097,2.9413953234821335e-08,0.012310267493569303,0.0,0.007028071583307528,0.0,0.008085875063044895,0.008096057328170002,0.007726024752331363,0.008073619195074381,0.004800341771299875,0.009495036357429426,0.009320936956054342
System,AT,Cultivation of cereal grains nec,0.005365726793370298,0.016669130096675228,0.017927958085348458,0.01582077039914754,0.011969031495714938,0.021740070244529643,0.014299376697358474,0.01836298677243426,0.022635321539319277,7.03313868034337e-08,0.02943494802728505,0.0,0.016804746273365895,0.0,0.019334048781651427,0.019358395486133204,0.01847361457914621,0.019304743907737856,0.011478045511621023,0.02270347917655862,0.022287191972910604
System,AT,"Cultivation of vegetables, fruit, nuts",0.009294453615510984,0.02887408592735147,0.031054614083404174,0.02740456648262638,0.020732626230050268,0.03765791332040835,0.02476922485291826,0.03180816604555988,0.03920865788010702,1.218272635809103e-07,0.05098689695729671,0.0,0.02910899879420144,0.0,0.0334902291005789,0.03353240219738584,0.03199979432960527,0.03343946751658722,0.01988214564638258,0.039326719798325936,0.038605631630024506
System,AT,Cultivation of oil seeds,0.0009705676247109175,0.0030151587337463675,0.0032428590505787086,0.002861705066007027,0.002164991792582406,0.0039324045280039795,0.0025865111308219528,0.003321548252576034,0.004094340078613252,1.2721737364037013e-08,0.0053242754785110796,0.0,0.003039689365951806,0.0,0.003497196656609093,0.003501600556406528,0.003341558918739667,0.003491895909298982,0.0020761808786653626,0.004106668622094637,0.004031369431882155
System,AT,"Cultivation of sugar cane, sugar beet",0.0006068937573947274,0.0018853719890047737,0.0020277524860706107,0.0017894177549779905,0.0013537645088052802,0.0024589237254922926,0.0016173396049506232,0.0020769566674698962,0.0025601816618409496,7.954873821130117e-09,0.0033292575069363444,0.0,0.0019007109382664091,0.0,0.002186789220287389,0.002189542968946635,0.0020894692921101794,0.0021834746748913467,0.0012982312436597135,0.00256789067240974,0.0025208062577709916
System,AT,Cultivation of plant-based fibers,9.64313339931141e-06,2.9957292154964705e-05,3.221962243919785e-05,2.843264394813335e-05,2.1510407036814944e-05,3.9070643279383276e-05,2.569843794320758e-05,3.30014437699594e-05,4.0679563747013e-05,1.26397591830814e-10,5.289966138037759e-05,0.0,3.020101773647372e-05,0.0,3.474660912303971e-05,3.479036433611568e-05,3.3200260955194154e-05,3.4693943227201004e-05,2.0628020824445768e-05,4.080205473721641e-05,4.005391507379484e-05
System,AT,Cultivation of crops nec,0.002146797447937677,0.006669226244448094,0.0071728763216035805,0.006329802247714622,0.004788742934328011,0.008698081195003772,0.005721101089030075,0.0073469288798459036,0.009056266259008882,2.8139196704178754e-08,0.011776758999960661,0.0,0.006723485522497493,0.0,0.007735445389063704,0.007745186370119941,0.007391190450042433,0.007723720671993219,0.004592302172765508,0.009083535750602022,0.0089169815556503
System,AT,Cattle farming,0.0,0.009920718663657941,0.005334958313573566,0.007061859763916632,0.004748953842893605,0.009704036115260065,0.014183912863420772,0.010928826191723605,0.008082916944699342,1.3952695744671548e-08,0.017518360980116943,0.0,0.004000572531987611,0.007030162427445695,0.005753379374921902,0.0028803122041152407,0.010994666900890886,0.014361647253928328,0.00341560896306659,0.010134069457609808,0.00994825285200167
System,AT,Pigs farming,0.0,0.014375119909042786,0.007730353824899972,0.010232633776726393,0.006881233431624596,0.014061146927747906,0.020552487688014754,0.01583586757143132,0.011712145484029325,2.021745411638256e-08,0.025384102526925585,0.0,0.005796829020342399,0.010186704340763636,0.008336645882287426,0.004173571967251939,0.015931270749493735,0.020810024794158704,0.004949216893565206,0.014684265178627191,0.014415016943971234
