Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Cultivation of wheat,1.7512874793662216e-05,5.939349990569627e-05,1.9621078887212362e-05,7.543181604379327e-05,1.850920700212351e-05,1.9517833377679545e-05,1.2647368718280739e-05,3.5846339073224124e-05,0.00010846397366709523,1.1347529339330049e-10,6.85352009150668e-05,8.581184160498156e-12,0.00011642800904357634,1.6761905855549196e-05,2.1812171673874434e-05,1.965752690182753e-05,2.2219998791874076e-05,6.571239003425677e-05,1.3829503998695059e-05,3.6941487489649875e-05,5.2875497631264366e-05
System,AT,Cultivation of cereal grains nec,1.4017957737169531e-05,0.00013104195153466972,1.578824633534317e-05,0.00014175737396790277,2.6086420232507606e-05,1.56240567798492e-05,1.0207062714915957e-05,6.966723992080452e-05,0.00023467676444847703,3.061756122523705e-10,0.00014833863642981095,2.7769224470251286e-11,0.0002472073513239018,3.741687458152066e-05,1.6630945118422575e-05,1.573484048683251e-05,1.6518233706008396e-05,0.00013625059381775002,1.7907510239320294e-05,5.1867994362357065e-05,0.00011674900245752143
System,AT,"Cultivation of vegetables, fruit, nuts",0.0005047455568055727,0.0005947623089045089,0.0005646451414856572,0.0007618177591364715,0.00039086521423738413,0.0005625128787609976,0.00036456866446652294,0.00042143963744776175,0.0008613926430435075,4.691551299487224e-10,0.0007318027374851887,1.8330813354543117e-11,0.0011436342458681422,7.735648137043734e-05,0.0005843720479476262,0.0005665538302065153,0.0005653708069839042,0.0008029965998950378,0.00025810200794558843,0.0006885890719328253,0.0006014412422394254
System,AT,Cultivation of oil seeds,2.4372342694423766e-07,1.9389482221405114e-05,2.9044336089697773e-07,4.0205674986330696e-05,3.270310181229243e-06,2.72148567247015e-07,1.9143960129988008e-07,8.460477846470553e-06,4.607805631425781e-05,5.846365114129234e-11,1.6985210179837667e-05,4.639691161945332e-12,4.731850928976054e-05,8.720876878232873e-06,1.3050581129576172e-06,2.736986581851861e-07,2.011129555379334e-06,1.5715016938582655e-05,3.3452086465362815e-06,9.367289835058423e-06,1.0389638648775491e-05
System,AT,"Cultivation of sugar cane, sugar beet",8.976245764256448e-05,7.135121385208986e-05,0.00010037119221803366,0.00010593333281446046,6.665554469338206e-05,0.00010003566789579587,6.462780695710669e-05,6.451531090089776e-05,0.0001186809211804739,2.4736333327411686e-11,0.00010894118843419079,1.7790662299518508e-12,0.00014821886926290857,3.9561257172252186e-06,0.00010254152454543245,0.00010075434625061652,9.822840353755105e-05,0.00011581782204209988,4.288022146622657e-05,9.959759602046672e-05,9.651665265466928e-05
System,AT,Cultivation of plant-based fibers,1.5236386055384077e-09,3.782263303823449e-07,2.0861498568865857e-09,2.982255856839331e-06,5.295768582493674e-08,1.7002458709171053e-09,8.485715468698762e-09,9.846009301100285e-08,2.6437065862053904e-06,9.240792282468412e-13,3.030570663587754e-07,1.7426303947263788e-14,2.5227470848812193e-06,1.8444433559441694e-07,3.281080409278443e-08,1.7108179622558554e-09,5.550337950465419e-08,2.7349863433561185e-07,6.632531324340534e-08,2.016610144177013e-07,9.806241846862543e-08
System,AT,Cultivation of crops nec,5.750788528233954e-07,5.658105877810214e-05,6.943172063330217e-07,6.9852333133453e-05,4.90188965676037e-06,6.413565237559214e-07,6.386612922483068e-07,3.450459557105993e-05,0.00011536577772448566,1.0392391156373652e-10,6.922087902771533e-05,8.095076382508026e-12,0.00011475709977511113,1.6943097680233016e-05,3.7896858069098894e-06,6.455491198306136e-07,5.877840532432845e-06,6.82234860533181e-05,6.188392476017745e-06,3.040078295085817e-05,5.188125134077234e-05
System,AT,Cattle farming,2.9829963132871137e-05,0.00011431823968779508,3.355776896692559e-05,7.857631943680905e-05,8.113073109579399e-05,3.3473590775016936e-05,2.2006450524820977e-05,0.0001019271238873187,0.00018898527864090746,6.211663977493828e-06,0.0002427683913816434,1.0652709980857615e-09,0.00017492672807676982,9.251094696900546e-06,3.4408601073358024e-05,3.3548616252337664e-05,6.84577602252892e-05,0.0002196269220062871,1.6449899935462605e-05,0.00015183398397075105,0.00016367899020364407
System,AT,Pigs farming,2.2301216250132336e-05,0.0002653618064656764,2.5913380333774516e-05,0.00010392788716184302,0.0001999127822030856,2.6159769252766675e-05,1.8136567281506082e-05,0.0002565110262175349,0.00043553186474920043,9.86734805661603e-06,0.0006451127628623369,3.644208291481778e-10,0.0003409041422603803,1.4942407109752797e-05,2.7009690941897438e-05,2.54074749391692e-05,0.0001334625923058342,0.0005519040567257332,1.470034333624757e-05,0.00036449711045830014,0.000418116578707744
System,AT,Poultry farming,1.3415233242300458e-05,0.00011608601218818494,1.5308814887999943e-05,9.308728212796048e-05,7.64600702510111e-05,1.5320712376722687e-05,1.0451310243885058e-05,0.00010282998097990956,0.00021125044445362932,4.412488692754264e-06,0.0002530868323219839,3.5392311349275034e-10,0.000185581287004691,1.1311775188007522e-05,1.6889011560133317e-05,1.5164292579050203e-05,5.5714633164582615e-05,0.0002264916820571536,9.762890470781233e-06,0.00015468571537173006,0.0001637863038116894
System,AT,Meat animals nec,1.2977688800083042e-06,1.3413447580639836e-05,1.4677683019943142e-06,8.689991433324553e-05,2.5535448777497494e-06,1.458438707314721e-06,9.604073758136797e-07,4.00916233081309e-06,7.77292484845997e-05,9.427693836597855e-09,1.064879172127658e-05,2.7770135030981182e-12,7.582132516466413e-05,5.343355857288126e-06,2.3009106754421696e-06,1.4601749998752341e-06,2.9320034437683766e-06,1.0086186668660277e-05,2.4014366299977788e-06,7.339476269009807e-06,4.604377654155754e-06
