Bank,region,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,,,,,,,,,,,,,,,,,,,,,
System,AU,,,,,,,,,,,,,,,,,,,,,
System,BE,,,,,,,,,,,,,,,,,,,,,
System,BG,,,,,,,,,,,,,,,,,,,,,
System,BR,,,,,,,,,,,,,,,,,,,,,
System,CA,,,,,,,,,,,,,,,,,,,,,
System,CH,,,,,,,,,,,,,,,,,,,,,
System,CN,,,,,,,,,,,,,,,,,,,,,
System,CY,,,,,,,,,,,,,,,,,,,,,
System,CZ,,,,,,,,,,,,,,,,,,,,,
System,DE,,,,,,,,,,,,,,,,,,,,,
System,DK,,,,,,,,,,,,,,,,,,,,,
System,EE,,,,,,,,,,,,,,,,,,,,,
System,ES,,,,,,,,,,,,,,,,,,,,,
System,FI,,,,,,,,,,,,,,,,,,,,,
System,FR,,,,,,,,,,,,,,,,,,,,,
System,GB,,,,,,,,,,,,,,,,,,,,,
System,GR,,,,,,,,,,,,,,,,,,,,,
System,HR,,,,,,,,,,,,,,,,,,,,,
System,HU,,,,,,,,,,,,,,,,,,,,,
System,ID,,,,,,,,,,,,,,,,,,,,,
System,IE,,,,,,,,,,,,,,,,,,,,,
System,IN,,,,,,,,,,,,,,,,,,,,,
System,IT,,,,,,,,,,,,,,,,,,,,,
System,JP,,,,,,,,,,,,,,,,,,,,,
System,KR,,,,,,,,,,,,,,,,,,,,,
System,LT,,,,,,,,,,,,,,,,,,,,,
System,LU,,,,,,,,,,,,,,,,,,,,,
System,LV,,,,,,,,,,,,,,,,,,,,,
System,MT,,,,,,,,,,,,,,,,,,,,,
System,MX,,,,,,,,,,,,,,,,,,,,,
System,NL,,,,,,,,,,,,,,,,,,,,,
System,NO,,,,,,,,,,,,,,,,,,,,,
System,PL,,,,,,,,,,,,,,,,,,,,,
System,PT,,,,,,,,,,,,,,,,,,,,,
System,RO,,,,,,,,,,,,,,,,,,,,,
System,RU,,,,,,,,,,,,,,,,,,,,,
System,SE,,,,,,,,,,,,,,,,,,,,,
System,SI,,,,,,,,,,,,,,,,,,,,,
System,SK,,,,,,,,,,,,,,,,,,,,,
System,TR,,,,,,,,,,,,,,,,,,,,,
System,TW,,,,,,,,,,,,,,,,,,,,,
System,US,,,,,,,,,,,,,,,,,,,,,
System,WA,,,,,,,,,,,,,,,,,,,,,
System,WE,,,,,,,,,,,,,,,,,,,,,
System,WF,,,,,,,,,,,,,,,,,,,,,
System,WL,,,,,,,,,,,,,,,,,,,,,
System,WM,,,,,,,,,,,,,,,,,,,,,
System,ZA,,,,,,,,,,,,,,,,,,,,,
