Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Cultivation of wheat,0.007328504988665451,0.005148191852897334,0.008193951406611858,0.0075061189135751495,0.0053330248278531354,0.008167226947968622,0.0052759838492458504,0.005032664405987997,0.008455967294613977,0.0,0.008455967294613977,0.0,0.010690758651047672,0.0,0.008330270483477826,0.008225915243216395,0.007949446481421757,0.009037315046118691,0.0033823869178455906,0.007797510824951415,0.007680836959274365
System,AT,Cultivation of cereal grains nec,0.01752310935337129,0.012309786095524397,0.019592468962816006,0.017947800096392928,0.012751738231365032,0.019528568397565737,0.012615348161725359,0.01203354966140323,0.020218972330813014,0.0,0.020218972330813014,0.0,0.025562557875385028,0.0,0.019918420039409045,0.019668897348283552,0.019007835869412838,0.02160902667855642,0.008087588932325205,0.018644544157512006,0.018365566533821827
System,AT,"Cultivation of vegetables, fruit, nuts",0.03035333951137239,0.021322877643169962,0.033937861728858404,0.03108898419921386,0.02208842232798733,0.03382717386445626,0.02185216893218482,0.020844383895216635,0.035023084051583504,0.0,0.035023084051583504,0.0,0.044279184836644864,0.0,0.034502470640005924,0.034070250147238974,0.03292516664057282,0.03743092108012989,0.0140092336206334,0.03229587668691102,0.031812634680188356
System,AT,Cultivation of oil seeds,0.0031696288830182205,0.002226628434789948,0.003543940419582669,0.003246448128865869,0.0023065699695040804,0.0035323819071535114,0.002281899353384025,0.002176662018300973,0.003657264095790252,0.0,0.003657264095790252,0.0,0.004623826749677677,0.0,0.003602899359231209,0.003557764999066549,0.0034381903553988573,0.003908701002375834,0.0014629056383161007,0.003372477137511504,0.00332201488700948
System,AT,"Cultivation of sugar cane, sugar beet",0.001981961826652451,0.0013923057628406918,0.0022160179903633038,0.0020299967286682634,0.0014422930250770675,0.002208790478483218,0.0014268665441878013,0.0013610618747545052,0.0022868790307528264,0.0,0.0022868790307528264,0.0,0.00289126848888036,0.0,0.0022528848829983937,0.0022246624688867585,0.0021498927125740692,0.0024441019641170845,0.0009147516123011306,0.002108802384915517,0.0020772484529338183
System,AT,Cultivation of plant-based fibers,3.149203967560624e-05,2.2122801627320668e-05,3.5211034610211966e-05,3.22552819438243e-05,2.2917065585613804e-05,3.509619431015027e-05,2.267194918544565e-05,2.1626357271027354e-05,3.633696885646872e-05,0.0,3.633696885646872e-05,0.0,4.5940310625678314e-05,0.0,3.579682472481852e-05,3.534838955669716e-05,3.4160348444769374e-05,3.883513546535096e-05,1.4534787542587488e-05,3.350745078977649e-05,3.300608004462576e-05
System,AT,Cultivation of crops nec,0.007010898595551025,0.004925076954566951,0.007838837866314907,0.007180814999868909,0.005101899546150548,0.007813271605548417,0.0050473306378363446,0.004814556293594901,0.008089498379481946,0.0,0.008089498379481946,0.0,0.010227437236916463,0.0,0.007969249079246407,0.007869416438275456,0.007604929417146645,0.008645651393071335,0.0032357993517927786,0.007459578423702616,0.007347961028029437
System,AT,Cattle farming,0.0,0.007007700767083917,0.005915021859597223,0.008452245144801264,0.005196251946207772,0.00837203570948058,0.012353463473459237,0.007511186599323083,0.01120034225166404,0.0,0.012924790415908608,0.0,0.007529486278745579,0.004868067612763071,0.0058134454561769725,0.0024066851119278108,0.01031776884618556,0.014540389217897189,0.002406685111927809,0.008526964259268818,0.011855152588385138
System,AT,Pigs farming,0.0,0.010154157398147515,0.008570865819207458,0.012247301992569858,0.007529368318644739,0.012131078532388971,0.017900166786654848,0.010883708296254888,0.016229294303022102,0.0,0.01872801944364656,0.0,0.010910224529091836,0.007053829266940862,0.008423681625340095,0.0034872863791617745,0.014950445566109383,0.021069021874102385,0.003487286379161772,0.012355569978628494,0.01717811438624133
System,AT,Poultry farming,0.0,0.006330233495282365,0.0053431889781633615,0.007635126998755023,0.004693905920514702,0.007562671785414634,0.011159196270159811,0.0067850449927439995,0.010117552680494038,0.0,0.01167529035979875,0.0,0.006801575556402958,0.004397448704482195,0.005251432441656916,0.0021740195842383883,0.00932030178193289,0.013134701654773597,0.002174019584238387,0.007702622666287238,0.010709059433470579
System,AT,Meat animals nec,0.0,0.0010116097916517879,0.0008538740779442392,0.0012201397054629475,0.000750114698584774,0.0012085609219431956,0.0017833073965234881,0.0010842914335739836,0.0016168464191357638,0.0,0.001865782369189418,0.0,0.0010869331181297568,0.0007027390334109989,0.0008392108256570762,0.00034742154460768484,0.0014894408793576976,0.002099005165338096,0.00034742154460768457,0.001230925923415342,0.001711372793808225
System,AT,Animal products nec,0.0,0.0007189833210690928,0.0006068755219665568,0.0008671921771037796,0.000533130424025062,0.0008589627666159886,0.0012674534044851138,0.0007706404805007431,0.001149144282392482,0.0,0.0013260709962104854,0.0,0.0007725180099106012,0.0004994590288234793,0.0005964538812172279,0.0002469235648116077,0.001058593104588377,0.0014918298707367965,0.00024692356481160755,0.0008748582859821098,0.0012163271896275488
System,AT,Raw milk,0.0,0.01425759002630736,0.01203446886130055,0.017196602720605324,0.010572088104906514,0.017033411784939875,0.02513386679363553,0.01528196233025026,0.02278777209332886,0.0,0.02629626592955304,0.0,0.015319194132162284,0.009904377277228212,0.011827805539842065,0.004896546069640913,0.020992123249054598,0.02958329917074718,0.004896546069640909,0.017348623267231834,0.02412002323193486
System,AT,"Wool, silk-worm cocoons",0.0,0.00011408244806257951,9.629409081736865e-05,0.0001375990285249052,8.45928161712883e-05,0.00013629325234478038,0.00020110923710150622,0.00012227898758613724,0.00018233690416839633,0.0,0.00021041020162683015,0.0,0.00012257689874083222,7.925011199204906e-05,9.464046930116393e-05,3.917983064775459e-05,0.00016796897693542308,0.00023671147683018397,3.9179830647754564e-05,0.00013881542456960588,0.00019299694356116146
System,AT,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Forestry, logging and related service activities (02)",0.5206980376580357,0.4182483223378947,0.0,0.7157445864831765,0.0,0.5823365984657469,0.7334851300832204,0.15290798881170342,0.9343560277868997,0.0,1.0054858658224146,0.0,1.283533487901878,0.0,0.547024103401697,0.5713948040020227,0.6026515355618783,1.1951366597107942,0.0,0.853014648464097,0.0
System,AT,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",0.0,4.988904729929703e-05,0.00016539140331981247,0.00016542640954814964,8.247149157798768e-05,8.438943324259202e-05,8.596051311678922e-05,2.8855741689402407e-05,6.1020051729258825e-05,0.00023629041307925773,1.4221182268659011e-05,0.00023428795195146754,6.437708193077739e-05,0.0,0.00012532971234271447,0.0,7.457185066238953e-05,0.0001919859606268969,9.282837656685123e-05,5.976431993573728e-05,0.00018159355819979983
System,AT,Mining of coal and lignite; extraction of peat (10),0.0,0.0,0.0,0.0794504828389135,0.0,0.0,0.0,0.0,0.0,0.0,0.09271738049561717,0.0,0.07276412810182913,0.0,0.0,0.0,0.0,0.08984864966345081,0.0,0.09223580994280757,0.0
System,AT,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.0,0.1816845087129351,0.0,0.25251022436538384,0.0,0.0,0.0,0.1808947567876216,0.2179991087564169,0.0,0.2725983487702356,0.0,0.2260932095508236,0.0,0.0,0.0,0.0,0.220193141654529,0.0,0.0,0.1874113647795366
System,AT,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.0,0.3070201735315915,0.0,0.4267052455509751,0.0,0.0,0.0,0.305685608604321,0.3683865216372313,0.0,0.4606512296329007,0.0,0.3820643648836655,0.0,0.0,0.0,0.0,0.3720941154540311,0.0,0.0,0.3166977203726187
System,AT,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.00733390747475842,0.0,0.006907491545480229,0.0,0.0,0.0,0.007269067671516827,0.00892448783520282,0.0,0.011031041901334165,0.0,0.009433189984728953,0.0,0.0,0.0,0.0,0.008994788527105332,0.0,0.0,0.007593461401848636
