Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Cultivation of wheat,5.38770177012544e-06,5.384984849907235e-05,1.8236380471140558e-05,6.377527735927357e-05,1.5422971825956808e-05,1.5769435655317808e-05,1.156629525714015e-05,2.9099436338279412e-05,9.483411333184736e-05,0.0,5.8733513487929844e-05,8.486885433459713e-13,0.00010637381106298102,9.385830334080726e-06,1.6224517368268133e-05,1.600483038860386e-05,1.5556279801029637e-05,5.483768289410827e-05,1.0090215657246091e-05,2.4050501689391455e-05,4.560359507048355e-05
System,AT,Cultivation of cereal grains nec,4.310927603907432e-06,0.0001273510671810768,1.4641881895615522e-05,0.00013117619166399633,1.8288719849397113e-05,1.2618824152378723e-05,9.303464662776701e-06,6.188710579547257e-05,0.00021756794781352154,0.0,0.0001294099807882634,2.746406815739137e-12,0.00023774726701391764,2.3967899299154075e-05,1.3076381244530506e-05,1.2806489863865732e-05,1.2516223792137767e-05,0.00011859501651271695,1.2765713403708062e-05,3.5372530978480496e-05,0.00010180594101483037
System,AT,"Cultivation of vegetables, fruit, nuts",0.00015530060027339952,0.0005399374891178772,0.0005251702778901981,0.0006259364519552056,0.0003541015398132757,0.0004545390701988826,0.00033380504654001143,0.0003609197828060845,0.0007520235764050419,0.0,0.0006386534699143252,1.8129375845152526e-12,0.0010607497675322517,3.6217744635178925e-05,0.00046617427864444755,0.0004613343823791488,0.00044772515369216614,0.0006597616539790825,0.0002196672905988767,0.00053430861408081,0.0004869587497756155
System,AT,Cultivation of oil seeds,7.473054099875258e-08,1.715000605652043e-05,2.634433411516399e-07,3.5957129293224376e-05,2.3540754688349394e-06,2.191667932900135e-07,1.7037395161269863e-07,5.897743399182605e-06,4.055248641821462e-05,0.0,1.3679736020027182e-05,4.588705544781094e-13,4.299585199697395e-05,5.678448309836513e-06,2.7712653312444874e-07,2.2214362784507456e-07,2.3039239654337618e-07,1.256724474801481e-05,2.06202396529625e-06,5.222590171713391e-06,8.69679748799476e-06
System,AT,"Cultivation of sugar cane, sugar beet",2.7619093750520887e-05,6.449090719688437e-05,9.336517947597789e-05,8.746563396938917e-05,6.168293161534621e-05,8.083654553501919e-05,5.9170825280053956e-05,5.775230333507812e-05,0.00010801320176188,0.0,9.783355130956145e-05,1.7595160516007306e-13,0.00013947463011066772,2.4213750625891184e-06,8.287497640763966e-05,8.2045013690616e-05,7.9582523209822e-05,9.518645005488131e-05,3.8391393075460736e-05,7.944446380871039e-05,7.851011020866953e-05
System,AT,Cultivation of plant-based fibers,4.683743635846867e-10,3.240896665834141e-07,1.8993575200632306e-09,2.8683566410101975e-06,5.671706410360022e-09,1.3727198414314666e-09,8.366181837115174e-09,5.682204740989151e-08,2.5391587516108295e-06,0.0,2.3322267081830783e-07,1.7234806101689449e-15,2.4232156417011784e-06,1.4726454996374667e-07,8.495839315129627e-09,1.391979365740237e-09,1.773510790361641e-09,1.9436994191059555e-07,5.444166261850568e-08,1.4263300397593737e-07,1.182831604167073e-08
System,AT,Cultivation of crops nec,1.7597560023207373e-07,4.935889138068024e-05,6.315924905178243e-07,5.6857420218041416e-05,2.938304446694391e-06,5.154262616753681e-07,5.874423620123302e-07,2.6071785824895388e-05,9.79431166126282e-05,0.0,5.9412514286975615e-05,8.006119499183758e-13,0.00010129303111565004,7.343850268665997e-06,5.937021508037176e-07,5.228781617012397e-07,5.555149214840494e-07,5.914492878021212e-05,2.0186754915884854e-06,1.7279609811310513e-05,4.805953824960989e-05
System,AT,Cattle farming,9.177439146333286e-06,0.00010953378725393383,3.121369106059109e-05,7.096345311398912e-05,7.452060837534499e-05,2.705371903318595e-05,2.0164120095280314e-05,9.457660797174189e-05,0.00017668701957291832,0.0,0.00022579942099268605,1.0535647233815216e-10,0.00016714670380997947,6.4364700535314655e-06,2.7705774649569327e-05,2.732766139081224e-05,5.624938369169088e-05,0.00020089091851698283,1.4227145504225647e-05,0.00013701652581098457,0.00014893428578121015
System,AT,Pigs farming,6.860748740991386e-06,0.0002589503149259834,2.4138813514766566e-05,9.568479197613147e-05,0.0001907272922448354,2.1179158425388905e-05,1.6711197924947993e-05,0.0002462411481147869,0.0004177162776660677,0.0,0.0006210853865910038,3.604162046520437e-11,0.000329878211635803,1.071388442715812e-05,2.136511563478758e-05,2.0752242199441757e-05,0.0001185934800268291,0.0005275576810652779,1.22987047919651e-05,0.0003459313684032526,0.00039929405184090073
System,AT,Poultry farming,4.126946519237468e-06,0.00011080751138406668,1.4243985537128347e-05,8.482855517318799e-05,7.168308047795065e-05,1.2390185788888727e-05,9.603442058184247e-06,9.574707295423474e-05,0.00019813962268512962,0.0,0.00023960836561697437,3.5003384850931324e-11,0.00017632844737702332,7.016857106307998e-06,1.2655095580076688e-05,1.2364782923047759e-05,4.6622220074201655e-05,0.0002125249907981895,7.4621867549304084e-06,0.0001421814399524581,0.0001538292347057975
System,AT,Meat animals nec,3.992811715157045e-07,1.1875791072228935e-05,1.362885781161578e-06,8.355992088223522e-05,1.2064642452975335e-06,1.1788447685903972e-06,8.796941312096146e-07,2.7809093363446246e-06,7.469067564677863e-05,0.0,8.525867694673227e-06,2.746496871195939e-13,7.299799273453324e-05,4.281646238000792e-06,1.3786754380670794e-06,1.1895565183230017e-06,1.2380721621937148e-06,7.600316441619177e-06,2.0037564868347917e-06,5.4021342328750714e-06,1.989722730152479e-06
System,AT,Animal products nec,2.0248699057717709e-07,8.94888375388732e-06,1.0857719978012784e-06,6.695505871172542e-05,9.816272758079547e-07,1.0739481653053485e-06,1.27257696241318e-06,2.3039080109153247e-06,5.963450713146782e-05,0.0,6.8115954293750835e-06,1.701226366049728e-13,5.756499342398098e-05,3.619726819277598e-06,1.0593699761606837e-06,7.643385624281231e-07,1.3100442021665472e-06,6.128190863297104e-06,1.5923078910760599e-06,4.235227978630165e-06,1.6332523101414328e-06
System,AT,Raw milk,6.881657811696394e-05,0.00023132879780859492,0.000233767878911257,0.0002810590200151201,0.00019393740239892723,0.000202750017838532,0.0001498548223261919,0.00020148167749318652,0.00040175061662536815,0.0,0.00038981411679693957,6.612338461639054e-11,0.00046503983591877115,1.2550791394455817e-05,0.00020739652954766312,0.00020487758802488295,0.00022175701510697,0.00036490442223521526,9.71671452304705e-05,0.00027968474414494465,0.0002871440062590412
System,AT,"Wool, silk-worm cocoons",1.1667070368948856e-09,1.736456263931118e-06,4.595419480754613e-09,1.6418485248183196e-05,2.7574753846459917e-08,3.853400890952108e-09,3.745283667488318e-09,3.084734103527205e-07,1.4521210604104907e-05,0.0,1.2566603236235297e-06,1.2063109045614654e-14,1.3743105575702988e-05,8.171868443258363e-07,4.317863235221174e-08,3.6142084692618212e-09,5.152948831990988e-09,1.0200681867024205e-06,3.086854594064966e-07,7.893135475441353e-07,6.236366293222908e-08
System,AT,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Forestry, logging and related service activities (02)",5.181706936904218e-07,0.0013091675085456494,2.6036368176339194e-06,0.004175661358705347,0.00028935339681774837,1.5492476380192604e-06,3.1696805889319355e-06,0.0006798103349650924,0.18499804708896345,0.0,0.18789805343669683,8.213441197312431e-11,0.1657358294266877,0.0006817828575489558,4.039103167759964e-06,1.5503179807266e-06,2.7140604326879615e-06,0.27065478738802323,0.00018789066985720618,0.13622007787566948,0.0008749114693440883
System,AT,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",4.60069967689774e-10,4.327663631351066e-06,7.249632181337795e-08,9.260154620566196e-06,4.872908146052647e-07,3.632918759892581e-09,1.8919719414601455e-08,1.1670315961511287e-06,9.432348442080877e-06,0.0,3.4572875356107016e-06,5.27720607923749e-08,1.1198142857651029e-05,1.2831825172050494e-06,7.156231485995503e-08,2.140197107966935e-09,1.903208269735099e-07,3.870868831366062e-06,2.5276929372117294e-07,1.9116671417625062e-06,1.3388933687964245e-06
System,AT,Mining of coal and lignite; extraction of peat (10),4.768906128730131e-07,5.211022499178115e-05,1.7375210084927081e-06,0.00017228660631992069,1.9627598177001654e-06,1.4014991863578433e-06,5.2843057679571015e-05,4.588543326346837e-05,0.0002456987595474535,0.0,0.00016675853604572333,1.9156988601362507e-11,0.00025835323791748645,7.111306249188469e-06,1.8404147126830721e-06,1.4185814204860845e-06,1.5386428952386234e-06,0.00015898094075919334,3.0012512997741064e-06,4.9071401981454015e-05,9.118628148096812e-05
System,AT,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1.5071651179876124e-08,0.024682448429072534,2.5940620398661144e-06,0.0052115688070402295,0.00020872079454348395,6.283033272979532e-08,9.99419028510188e-06,0.0004264792040187938,0.004651682522936483,0.0,0.001447307213067141,2.8442859802348315e-11,0.024952798620777736,0.000645170313891131,9.708133115073176e-06,5.110434905508821e-08,3.6917459371493855e-06,0.0016525635785069213,0.00013888297340801942,0.0008752627578023434,0.0005212079495541717
System,AT,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",2.659951927233403e-08,0.04997993821821409,4.93519009814852e-06,0.009606062714118915,0.00033063396705516933,1.1385776268897032e-07,1.935613712294526e-05,0.0008180900818285702,0.008806848310592676,0.0,0.0026006489131545477,5.4078172706284425e-11,0.05008192011482579,0.0011146728671826492,1.549795208267639e-05,9.11974952987256e-08,7.064938040599641e-06,0.0030862950629514728,0.00023898021569697972,0.0017552653970184272,0.0009859691070642999
System,AT,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of uranium and thorium ores (12),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of iron ores,1.7565160401000156e-09,0.0020031275932808103,3.785502521528761e-07,0.0008348032553754185,5.022617852663395e-05,7.55114231689964e-09,1.5230854890552353e-06,8.99124713247706e-05,0.0008323046801569253,0.0,0.0002941101116046412,4.425638939626954e-12,0.002379858301484645,0.0001192819369083815,1.2640344510015378e-06,6.033270355090342e-09,5.227433433331142e-07,0.00033044281223514456,2.8305957510504998e-05,0.00018730583256819242,0.00013132816212899472
System,AT,Mining of copper ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of nickel ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of aluminium ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of precious metal ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Mining of lead, zinc and tin ores and concentrates",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of other non-ferrous metal ores and concentrates,8.272837925896458e-09,0.01236070043086714,1.5762382717441772e-06,0.0031800103370876087,0.00031388224868839716,3.490767206068042e-08,5.493978012693862e-06,0.00040232187256128096,0.0032323150864943784,0.0,0.0013210792264913317,1.738996215922053e-11,0.01305608448801727,0.000664782476947673,3.2389679979641197e-06,2.8193322003840546e-08,2.213167554910162e-06,0.001427278818002327,0.00016371905896621458,0.0008565558146366507,0.000566612445861652
System,AT,Quarrying of stone,5.034572584856338e-07,0.14196830557290932,0.00011044901100476788,0.14125860255766362,0.004379748502738325,2.0128913387724775e-06,0.0018061303300837665,0.04890490347731351,0.1816613059728626,0.0,0.1370895745433699,1.1286675371459001e-09,0.25924227196777294,0.059050739968150225,0.0003001426068382526,1.6780381519239049e-06,0.00014497466389401658,0.17076281269526405,0.011280399536753177,0.10191208099124746,0.04362975314280163
System,AT,Quarrying of sand and clay,4.673882836012351e-08,0.0067915056581250854,6.8783274330803705e-06,0.09407142711099913,0.0005857885740832801,1.8301840778525912e-07,0.00011869059130877124,0.002980271286599186,0.010720286302415966,0.0,0.10931884634007692,8.145454770146469e-11,0.09259805074867582,0.0035706335940264796,1.6814441410161178e-05,1.5447944657582927e-07,9.003123855589533e-06,0.1088084125425684,0.00040220801597533177,0.10499789402519362,0.0031306269096874496
System,AT,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",4.60976639544737e-09,0.0008769506491980625,8.23471497869188e-07,0.030596803807949796,0.00013536157721299452,1.727745231430999e-08,8.427451729959675e-06,0.00038642789405999553,0.0014271044439652999,0.0,0.03568226498235746,7.141950457708952e-12,0.02882186664016575,0.0005865141955841433,3.2000701998980875e-06,1.49744009362093e-08,1.0742634885945031e-06,0.03502745932495429,3.4075994953032365e-05,0.03471775082876043,0.0004038806158701101
System,AT,Processing of meat cattle,8.334039426555968e-07,0.00029007773961410214,0.00012703791927799898,0.00026941072646939125,0.00015192523442993276,0.0001524509777589489,0.00026256562403645844,0.0002571244122405911,0.00040886194763474395,0.0,0.0005121790181769427,3.312155295976505e-11,0.0003697089855612487,0.00024649618616201996,9.964345731858402e-05,5.322722307759628e-05,0.00022302246686519802,0.0005161532004878061,0.00010503240953994045,0.00035658940820855727,0.0002668364963360968
System,AT,Processing of meat pigs,7.612571372890792e-07,0.0014373855463087018,0.00040302172339058527,0.0006361691596663804,0.00037976420668120263,0.000485958452354896,0.0008413295756425906,0.0005514414456917825,0.0007472224634455951,0.0,0.0009755136480794308,1.550745926440064e-11,0.0014425020973106019,0.0003493814093978461,0.00031509412722652074,0.000165915590213195,0.000714227735032137,0.0010751106726777794,0.00016768254185684504,0.0005533476122500778,0.0006613218542465511
System,AT,Processing of meat poultry,7.444383212948848e-08,0.00022529211702116992,0.00013742574902255713,0.00037591145923053407,0.0001243760067423573,0.00016592863839898708,0.0002878128786795429,0.00018652325958245022,0.00038979656997173727,0.0,0.00033421246498575836,1.5011353613657312e-11,0.0003841707256568121,0.00013256129709449523,0.00010790196468583856,5.628390605400519e-05,0.00024121039708877514,0.00036729824744000735,6.224336663693606e-05,0.00019332587482190393,0.00021520837358738305
System,AT,Production of meat products nec,2.496572510317973e-06,0.0007284050671809422,0.00017541879312729365,0.0008148517374592107,0.00030403604484911996,0.00020893531709825503,0.00035557188085787145,0.00044241896395310563,0.0010787964445698624,0.0,0.0009630823453115159,3.144273505970227e-10,0.0011480115880620528,0.00022252921271298135,0.00013908295594250897,7.563056092761307e-05,0.0003765215732729146,0.0009229781004039241,9.880717076557737e-05,0.0005556020670439154,0.0005836002677074779
System,AT,Processing vegetable oils and fats,5.1300197866599255e-06,0.00012752900365373574,1.736415234356427e-05,0.0003835235848263694,1.4646709415258156e-05,1.5015243176370358e-05,1.131085605316888e-05,2.7285455618289435e-05,0.00035932458702015146,0.0,7.281142406975947e-05,1.3792394659863542e-12,0.0004006346901114666,3.7579581242942476e-05,1.6421705856052248e-05,1.5239362877613262e-05,1.4816377923651444e-05,6.487854613853484e-05,1.996961092503342e-05,5.222089282134234e-05,2.0760014626363916e-05
System,AT,Processing of dairy products,1.927748293181021e-06,0.0010343925034202736,0.0002693819893789301,0.0011223079201583192,0.0004971998246311934,0.00032306091325552986,0.0005553789913581995,0.0007380343618698578,0.0016171113800687227,0.0,0.00162447058295595,9.193526937140955e-11,0.001595285379511483,0.00038913082884073477,0.000211303961745359,0.00011311469447858278,0.0005973360156441396,0.0015590502121849965,0.00015565103175274857,0.0009117899239537598,0.0009558470357225144
