Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Cultivation of wheat,0.002254924611897061,0.004675652504080672,0.007622280378243591,0.006162430959910463,0.004958271731841833,0.006599779351893835,0.0048306962097954325,0.0045825887274037035,0.007805508271951366,0.0,0.007673007359927498,0.0,0.010147160753536773,0.0,0.006764773835691181,0.0066984525235765655,0.006496862000614304,0.007469437776909015,0.0030692029439709995,0.006321182108760613,0.006263679477491838
System,AT,Cultivation of cereal grains nec,0.005391725954883472,0.011179902347626025,0.018225552523549775,0.014734922301359627,0.011855670139431269,0.015780661331366255,0.011550625682602757,0.010957378553472858,0.018663666766904327,0.0,0.018346845263145145,0.0,0.02426276679697562,0.0,0.01617517786465041,0.01601659768950679,0.015534576761099901,0.017860092225551502,0.0073387381052580575,0.015114510463689732,0.014977016541342982
System,AT,"Cultivation of vegetables, fruit, nuts",0.00933948908042227,0.01936570529911089,0.03157010393382177,0.025523672212934837,0.020536262921155783,0.027335089991479804,0.020007868229468453,0.01898025200214848,0.03232900066300017,0.0,0.031780205898659104,0.0,0.042027700861900205,0.0,0.0280184672412668,0.027743776385960282,0.02690882497428594,0.03093705757889877,0.012712082359463644,0.02618119070085587,0.025943025223395203
System,AT,Cultivation of oil seeds,0.0009752704255440675,0.0020222519117899054,0.0032966887624024835,0.0026652938341923493,0.002144486674349739,0.0028544500259826354,0.0020893093823823043,0.0019820011873960073,0.0033759360884217725,0.0,0.003318628531365229,0.0,0.004388716914948303,0.0,0.0029258112766322015,0.0028971268523514957,0.0028099375627061744,0.0032305832846147237,0.0013274514125460918,0.002733954799475992,0.0027090845154001883
System,AT,"Cultivation of sugar cane, sugar beet",0.000609834408200754,0.0012645095817103871,0.0020614120840588878,0.001666602252548636,0.001340942704395976,0.0017848811947339133,0.0013064404675683704,0.0012393408940854027,0.002110965259156456,0.0,0.002075130972349787,0.0,0.0027442548369033923,0.0,0.0018295032246022612,0.0018115669184787108,0.0017570476513506868,0.0020200764771649976,0.000830052388939915,0.001709535800038179,0.0016939844672243171
System,AT,Cultivation of plant-based fibers,9.689858361724995e-06,2.009220630887095e-05,3.2754450800197185e-05,2.648118826252242e-05,2.1306677193111207e-05,2.8360561058707292e-05,2.0758459868003944e-05,1.969229279963466e-05,3.354181740597114e-05,0.0,3.2972434703091986e-05,0.0,4.3604362627762465e-05,0.0,2.9069575085174975e-05,2.8784579251006608e-05,2.7918304784772008e-05,3.209765582321405e-05,1.3188973881236796e-05,2.7163373440245474e-05,2.691627322701388e-05
System,AT,Cultivation of crops nec,0.002157199567861853,0.004473016751007667,0.007291942201223169,0.005895360462855339,0.0047433876861507785,0.006313754832766397,0.00462134109551256,0.004383986218557958,0.007467229273367954,0.0,0.007340470751752137,0.0,0.009707398055378336,0.0,0.006471598703585557,0.006408151657471977,0.006215297764829694,0.007145723568542388,0.002936188300700855,0.006047231575481588,0.005992221021838483
System,AT,Cattle farming,0.0,0.006936915910850746,0.00583027942607864,0.0071706029019766955,0.005141554557300322,0.007043956425154566,0.012225448307931161,0.00745296034661515,0.008330833079750109,0.0,0.01270194920184122,0.0,0.00742634263109153,0.0048133702238556215,0.004553188049593155,0.0023830901598500868,0.010198626018862398,0.014289692852071371,0.0023621168691143326,0.00722005533578343,0.00882451207706864
System,AT,Pigs farming,0.0,0.010051590151701581,0.008448074045293312,0.010390202568050491,0.007450111810027425,0.010206691841449093,0.017714672830316452,0.010799338464500971,0.012071375927867674,0.0,0.01840512255668714,0.0,0.010760769398556332,0.006974572758323549,0.0065975688254411935,0.003453097297013129,0.014777807626546915,0.02070576287627303,0.0034227070017698894,0.01046185913748532,0.012786716723593173
System,AT,Poultry farming,0.0,0.006266291742804764,0.005266638992802857,0.006477387117422595,0.0046444963845092835,0.006362984148990404,0.01104355693057266,0.00673244774473823,0.007525452406979033,0.0,0.011473992250147048,0.0,0.006708403288507026,0.0043480391684767765,0.004113010024234788,0.002152705666745855,0.009212677050039898,0.012908241281415428,0.0021337599623080477,0.0065220587527151635,0.007971405142207424
