Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Cultivation of wheat,10.936763501762204,10.936763501762204,14.58235133568294,16.405145252643308,10.936763501762204,16.405145252643308,10.936763501762204,10.936763501762204,18.227939169603673,10.936763501762204,18.227939169603673,0.0,18.227939169603673,0.0,16.405145252643308,16.405145252643308,16.405145252643308,16.405145252643308,7.29117566784147,16.405145252643308,16.405145252643308
System,AT,Cultivation of cereal grains nec,32.66905870670658,32.66905870670658,43.55874494227544,49.003588060059876,32.66905870670658,49.003588060059876,32.66905870670658,32.66905870670658,54.4484311778443,32.66905870670658,54.4484311778443,0.0,54.4484311778443,0.0,49.003588060059876,49.003588060059876,49.003588060059876,49.003588060059876,21.77937247113772,49.003588060059876,49.003588060059876
System,AT,"Cultivation of vegetables, fruit, nuts",12.036386124986246,12.036386124986246,16.04851483331499,18.054579187479362,12.036386124986246,18.054579187479362,12.036386124986246,12.036386124986246,20.06064354164374,12.036386124986246,20.06064354164374,0.0,20.06064354164374,0.0,18.054579187479362,18.054579187479362,18.054579187479362,18.054579187479362,8.024257416657495,18.054579187479362,18.054579187479362
System,AT,Cultivation of oil seeds,3.186392971868438,3.186392971868438,4.248523962491251,4.779589457802657,3.186392971868438,4.779589457802657,3.186392971868438,3.186392971868438,5.310654953114064,3.186392971868438,5.310654953114064,0.0,5.310654953114064,0.0,4.779589457802657,4.779589457802657,4.779589457802657,4.779589457802657,2.1242619812456254,4.779589457802657,4.779589457802657
System,AT,"Cultivation of sugar cane, sugar beet",3.128218731754303,3.128218731754303,4.170958309005737,4.692328097631454,3.128218731754303,4.692328097631454,3.128218731754303,3.128218731754303,5.213697886257172,3.128218731754303,5.213697886257172,0.0,5.213697886257172,0.0,4.692328097631454,4.692328097631454,4.692328097631454,4.692328097631454,2.0854791545028686,4.692328097631454,4.692328097631454
System,AT,Cultivation of plant-based fibers,0.08311225573771647,0.08311225573771647,0.11081634098362195,0.1246683836065747,0.08311225573771647,0.1246683836065747,0.08311225573771647,0.08311225573771647,0.13852042622952743,0.08311225573771647,0.13852042622952743,0.0,0.13852042622952743,0.0,0.1246683836065747,0.1246683836065747,0.1246683836065747,0.1246683836065747,0.055408170491810974,0.1246683836065747,0.1246683836065747
System,AT,Cultivation of crops nec,8.952688843163463,8.952688843163463,11.936918457551283,13.429033264745195,8.952688843163463,13.429033264745195,8.952688843163463,8.952688843163463,14.921148071939104,8.952688843163463,14.921148071939104,0.0,14.921148071939104,0.0,13.429033264745195,13.429033264745195,13.429033264745195,13.429033264745195,5.968459228775641,13.429033264745195,13.429033264745195
System,AT,Cattle farming,0.0,7.679149194608001,5.119432796405334,8.959007393709335,5.119432796405334,8.959007393709335,12.798581991013334,7.679149194608001,10.238865592810669,2.559716398202667,12.798581991013334,0.0,5.119432796405334,5.119432796405334,6.399290995506667,2.559716398202667,10.238865592810669,12.798581991013334,2.559716398202667,8.959007393709335,10.238865592810669
System,AT,Pigs farming,0.0,4.150883851640103,2.767255901093402,4.8426978269134535,2.767255901093402,4.8426978269134535,6.918139752733506,4.150883851640103,5.534511802186804,1.383627950546701,6.918139752733506,0.0,2.767255901093402,2.767255901093402,3.459069876366753,1.383627950546701,5.534511802186804,6.918139752733506,1.383627950546701,4.8426978269134535,5.534511802186804
System,AT,Poultry farming,0.0,3.4168029277370513,2.277868618491368,3.986270082359893,2.277868618491368,3.986270082359893,5.6946715462284185,3.4168029277370513,4.555737236982736,1.138934309245684,5.6946715462284185,0.0,2.277868618491368,2.277868618491368,2.8473357731142093,1.138934309245684,4.555737236982736,5.6946715462284185,1.138934309245684,3.986270082359893,4.555737236982736
System,AT,Meat animals nec,0.0,1.4296022514399902,0.9530681676266601,1.667869293346655,0.9530681676266601,1.667869293346655,2.3826704190666503,1.4296022514399902,1.9061363352533203,0.47653408381333007,2.3826704190666503,0.0,0.9530681676266601,0.9530681676266601,1.1913352095333252,0.47653408381333007,1.9061363352533203,2.3826704190666503,0.47653408381333007,1.667869293346655,1.9061363352533203
System,AT,Animal products nec,0.0,1.0664861625211268,0.7109907750140845,1.244233856274648,0.7109907750140845,1.244233856274648,1.777476937535211,1.0664861625211268,1.421981550028169,0.35549538750704224,1.777476937535211,0.0,0.7109907750140845,0.7109907750140845,0.8887384687676055,0.35549538750704224,1.421981550028169,1.777476937535211,0.35549538750704224,1.244233856274648,1.421981550028169
