Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Cultivation of wheat,0.02630745380546572,0.018735770672379998,0.021914056087450312,0.01795445110500228,0.019025926412881457,0.01979933805568151,0.019070904962320882,0.018275800281907634,0.018212852634553182,0.0,0.01847785445860092,0.01791518494621606,0.022468713097117145,0.018449383188248677,0.0201114897817846,0.019813491994242555,0.019088718249227594,0.021492250207143862,0.01847785445860092,0.0188526483945492,0.01847785445860092
System,AT,Cultivation of cereal grains nec,0.06290346947364052,0.044798899478075915,0.052398463505205564,0.04293069467501394,0.0454926877443293,0.04734198399409878,0.045600235469493176,0.04369906923111202,0.04354855578944342,0.0,0.04418219879696179,0.04283680578562081,0.05372469790758888,0.04411412144904658,0.04808836662463637,0.04737582732415991,0.04564282862797394,0.051389888007483085,0.04418219879696179,0.04507836454082902,0.04418219879696179
System,AT,"Cultivation of vegetables, fruit, nuts",0.10896070593825984,0.07760016662409683,0.09076404880973755,0.07436408257528006,0.07880193911606292,0.08200526997443945,0.07898823211633726,0.075695052627616,0.07543433488033371,0.0,0.07653192440901584,0.07420144926182949,0.09306133762277906,0.07641400156709129,0.08329814585241484,0.08206389302282802,0.07906201152238654,0.08901700529777476,0.07653192440901584,0.07808425296746488,0.07653192440901584
System,AT,Cultivation of oil seeds,0.01137815496468079,0.008103349859299974,0.009477980191907135,0.007765423765034098,0.008228844215528072,0.00856335007794791,0.008248297747952483,0.007904409497353129,0.007877184206317467,0.0,0.007991799320430554,0.007748440880911554,0.009717873168814102,0.007979485299906004,0.00869835784944709,0.008569471753861474,0.008256002117229481,0.009295546243466892,0.007991799320430554,0.008153900279138924,0.007991799320430554
System,AT,"Cultivation of sugar cane, sugar beet",0.0071147347623421306,0.005067006479903324,0.0059265597416692985,0.0048557020515984685,0.005145477819193863,0.005354643584201742,0.005157642069357439,0.004942609518078692,0.004925585604698397,0.0,0.004997254178311734,0.00484508269227294,0.0060765642817146555,0.004989554248915258,0.005439063640709427,0.005358471454411036,0.005162459594174699,0.0058124842031634354,0.004997254178311734,0.005098615543973516,0.004997254178311734
System,AT,Cultivation of plant-based fibers,0.0001130483475534583,8.0511323152568e-05,9.416904605056684e-05,7.715383798291304e-05,8.175817992705466e-05,8.508168317612191e-05,8.195146167629115e-05,7.853473914140018e-05,7.826424061393264e-05,0.0,7.940300601969093e-05,7.698510350946766e-05,9.655251724718834e-05,7.928065932320449e-05,8.642306106403374e-05,8.514250545780417e-05,8.202800890371158e-05,9.235646251019134e-05,7.940300601969093e-05,8.101356990950405e-05,7.940300601969093e-05
System,AT,Cultivation of crops nec,0.025167328291721625,0.01792379052708746,0.020964333828516597,0.017176332175612357,0.01820137135383439,0.018941264498299196,0.018244400600533752,0.01748375456210615,0.01742353497119189,0.0,0.01767705201442352,0.017138767753139723,0.02149495283690918,0.01764981464614243,0.019239888037686798,0.01895480502643319,0.01826144188635529,0.020560808381183286,0.01767705201442352,0.01803560294441877,0.01767705201442352
System,AT,Cattle farming,0.03342618211010848,0.023594952077723625,0.02999882146557904,0.024396534011323,0.02625474667557611,0.02436034930365954,0.024962957277974627,0.025231376173436716,0.028232267659153154,0.0,0.026295263259951997,0.025086632946366153,0.03816314963199813,0.0246138250083526,0.02374162340145001,0.024302800640055338,0.0260922791837718,0.029582171167445995,0.02451253354741288,0.024658658933686572,0.029860722685030244
System,AT,Pigs farming,0.04843453304391353,0.034189082148644835,0.04346828796560802,0.0353505742545166,0.03804312413631026,0.03529814261834478,0.03617132148598648,0.03656026042669601,0.04090855175555157,0.0,0.03810183266121197,0.03635052751160153,0.055298398298136694,0.03566542887779086,0.03440160887551478,0.035214754613104186,0.03780770876417962,0.04286456174386346,0.03551865756553658,0.035730393229116524,0.04326818285256276
System,AT,Poultry farming,0.03019471644775539,0.021313917492533214,0.02709869481761934,0.02203800674433434,0.0237165772826006,0.022005320181925147,0.022549671219493916,0.022792140802499226,0.025502922045873396,0.0,0.023753176938900906,0.02266139058146794,0.034473739121494436,0.022234291202438056,0.021446409412081386,0.021953335017309214,0.0235698162845647,0.026722324056263517,0.022142792061687285,0.022274790822114626,0.026973946693328154
System,AT,Meat animals nec,0.004825299230662289,0.003406093574585144,0.004330536154616915,0.003521807438488858,0.0037900532139020157,0.003516583927126565,0.003603574531835028,0.0036423226450805657,0.004075521965590147,0.0,0.0037959020614543332,0.0036214279649784084,0.005509113064493286,0.003553174888033139,0.003427266588697429,0.003508276381822699,0.0037665999143110373,0.004270389819136125,0.0035385527691523446,0.003559646973439392,0.004310600646058312
System,AT,Animal products nec,0.003429493955716773,0.002420819262858898,0.003077850068426377,0.00250306079398068,0.0026937116161266294,0.0024993482779711506,0.002561175273311888,0.0025887147923797575,0.0028966033564438586,0.0,0.0026978685784971946,0.002573864277273537,0.003915502242012635,0.002525354640118714,0.0024358675988172093,0.002493443840744666,0.0026770426086010924,0.0030351021508093438,0.0025149622341923,0.0025299545574959796,0.0030636812671069845
System,AT,Raw milk,0.06800758430056822,0.0480053536239305,0.06103441227650995,0.04963622043197635,0.053416866214264495,0.04956260046099947,0.05078864274361584,0.05133475718171923,0.057440251970787615,0.0,0.05349929964978033,0.051040268353036614,0.07764523053287731,0.050078312075872954,0.048303765281592755,0.049445514232648424,0.05308631629957226,0.06018671210600286,0.04987222848708336,0.05016952940205851,0.06075344197517429
System,AT,"Wool, silk-worm cocoons",0.000544164314552147,0.0003841159867426919,0.0004883683115952508,0.00039716540656627923,0.0004274163343391409,0.00039657633460532077,0.00040638654129319913,0.00041075628904903993,0.0004596095518294287,0.0,0.00042807592744768894,0.00040839992963337396,0.0006212801717001083,0.0004007028134429445,0.0003865037347683896,0.00039563946634497277,0.0004247714312801115,0.00048158541837865,0.00039905383067157446,0.00040143269106305917,0.0004861201209999181
System,AT,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Forestry, logging and related service activities (02)",4.443888424840134,3.6359087112328377,4.1736135206405125,3.5611982582622987,3.8011772890161497,3.414206960547909,3.7326084109996702,3.9877708445779505,4.195279282191736,0.0,3.703240354033445,3.7899726396749074,5.090272195725972,3.7460877630883798,3.19370359770452,3.6893779569862617,3.797904643911527,4.014649201986258,3.433913782831014,3.695513772072721,4.578551710441354
System,AT,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",0.0011392573487749933,0.0011839341075504828,0.0010750738361679512,0.0012953199992921157,0.001165149561247152,0.0012226176425877977,0.0012180357824668816,0.0010290066376032198,0.0010735309632687437,0.0022785146975499867,0.0010126731989111052,0.0013130423680796529,0.0007486548291949956,0.001087472923830676,0.0012932110445553978,0.001267703030254527,0.0010659388065270975,0.0010443192363770773,0.001097062632153697,0.0010645519488553217,0.0009282837656685128
System,AT,Mining of coal and lignite; extraction of peat (10),0.12048669495098766,0.11177925313100032,0.11345628417919962,0.09931310354864187,0.10562145336612555,0.10881585829719861,0.10843802545588886,0.11693317030727192,0.11082127876261172,0.0,0.11589672561952147,0.10344935116130803,0.12127354683638188,0.11407116963541558,0.10383254947127585,0.10783052951495951,0.1141129999139764,0.11231081207931351,0.11130675628805527,0.11529476242850947,0.12048669495098763
System,AT,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",3.3679282599179774,3.1021663455772477,3.102983027516321,2.916695639728498,3.024414512786655,3.029332259961917,3.067314009421924,3.076447450641047,3.01407463411046,0.0,3.0941129542335886,3.069980079834287,3.1895571465007198,3.0580191184842827,2.957205301391396,3.058678032321491,3.1402006789527426,3.049617967059875,2.984586831959834,3.1147613215474927,3.2036390765073453
System,AT,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",5.691304812540414,5.24220615444899,5.243586227149908,4.928787863048697,5.110816960263567,5.119127231743669,5.183310817855953,5.198744993988528,5.093344081766937,0.0,5.228597104203795,5.187816085841924,5.389883791109705,5.167603815377604,4.997243250035488,5.168717283124938,5.306478599666393,5.153407101599093,5.043514020869148,5.263489816635736,5.413680187538445
System,AT,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.042071880739972166,0.03875200492835312,0.03876220685146181,0.03643512023989571,0.037780735476028206,0.03784216756623314,0.038316632433134996,0.03843072662400291,0.03765157056841787,0.0,0.03865140263103135,0.038349936763802654,0.03984368357186215,0.038200521425761864,0.03694116357656094,0.03820875252281547,0.039227126669169894,0.03809557493832846,0.03728321138745502,0.03890934032449245,0.04001959387460766
System,AT,Mining of uranium and thorium ores (12),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of iron ores,0.46490722713345495,0.3972581878911256,0.5086753648991693,0.4163048133379604,0.4704683183671087,0.4082112238244971,0.4146680922864466,0.43333458012948534,0.4827882743308955,0.0,0.46490722713345495,0.40684566442276476,0.685825548598375,0.423755152004417,0.40472720199953693,0.39509917600041283,0.4884069671188354,0.5046690294540794,0.4322821585626862,0.4440485767357504,0.4975322957042238
System,AT,Mining of copper ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of nickel ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of aluminium ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of precious metal ores and concentrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,"Mining of lead, zinc and tin ores and concentrates",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Mining of other non-ferrous metal ores and concentrates,3.629589783251963,3.3672832947144262,3.4178028542493326,2.991747977897704,3.1817832515520457,3.2780127937941077,3.266630804926766,3.5225419739763297,3.338424888551531,0.0,3.4913196962709363,3.11634996886476,3.653293226734425,3.436325911676209,3.1278935892735067,3.2483303522381006,3.437586023855041,3.383296190817009,3.3530496092899087,3.473185914371784,3.629589783251962
System,AT,Quarrying of stone,124.56982089064371,115.56729601955517,117.30115930949947,102.67868602571257,109.20081701452534,112.50347587057439,112.11283880157931,120.89587225608096,114.57685723677888,0.0,119.82430390433348,106.95510529739045,125.3833380882969,117.93688237568735,107.35128966328833,111.48475567103826,117.98013022400991,116.11686875877861,115.07878691802324,119.20194102088293,124.56982089064367
System,AT,Quarrying of sand and clay,8.99407802268743,8.344085829451195,8.469272665226793,7.413514017917701,7.884419045862359,8.122874646273806,8.094670220418685,8.728814892064392,8.27257506042789,0.0,8.651446478966005,7.722276190907899,9.052814858753962,8.515172569531346,7.750881137698203,8.04932192786732,8.518295111727726,8.383765585433641,8.308814935244579,8.60651119454352,8.994078022687429
System,AT,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",1.2193495798545824,1.131228517781058,1.1482004091990834,1.0050685773674168,1.0689103459764198,1.1012383661961944,1.0974146218691239,1.183387195932604,1.1215336245475664,0.0,1.1728981672886938,1.046928234906622,1.227312679151592,1.1544231736545332,1.0508062788553776,1.0912666407942269,1.1548465044846228,1.1366080012215931,1.1264467547228048,1.166806178755462,1.2193495798545821
System,AT,Processing of meat cattle,0.08387138287009115,0.07564869827498419,0.0691052943366244,0.06319076791582211,0.06290353715256837,0.07262034370459114,0.07227214906890835,0.0811658543904108,0.07741973803393032,0.0,0.08387138287009116,0.07249899197245169,0.07428608197065217,0.07878826875675231,0.06460363275128644,0.06865941636914324,0.07100003203359201,0.0698928190584093,0.077658687842677,0.0756217386533609,0.09008407789750533
System,AT,Processing of meat pigs,0.13491057635947576,0.12168404926540953,0.11115871432435681,0.10164495479138586,0.10118293226960684,0.11681281611613148,0.11625273069273977,0.13055862228336365,0.12453283971643922,0.0,0.1349105763594758,0.1166176168531062,0.11949222477553571,0.12673417779223484,0.10391760611473136,0.1104415012354532,0.114206478007279,0.11242548029956315,0.12491720033284796,0.12164068360280605,0.14490395238610365
System,AT,Processing of meat poultry,0.03700923560673031,0.03338087917469794,0.030493525112587662,0.027883670662605036,0.02775692670504774,0.03204458204972992,0.031890937065374,0.035815389296835795,0.03416237132928954,0.0,0.03700923560673033,0.03199103416852961,0.03277960868024686,0.034766251630564855,0.028507113913292276,0.030296776207470406,0.03132960043936082,0.03084102967227527,0.03426781074697252,0.03336898292410112,0.03975066046648813
System,AT,Production of meat products nec,0.25226500521030176,0.2275331419543899,0.20785215218031913,0.19006267515844658,0.18919875390772636,0.21842457768209064,0.21737729172377074,0.24412742439706628,0.23286000480950944,0.0,0.2522650052103019,0.2180595807750067,0.22343471890055308,0.23697621701573812,0.19431223374307036,0.20651105818686472,0.2135510687671367,0.21022083767525152,0.2335787085280573,0.22745205387814105,0.27095130189254646
System,AT,Processing vegetable oils and fats,0.052088754060372944,0.04698201346621874,0.04291819876805377,0.039244951689322086,0.039066565545279715,0.045101238271786345,0.04488499020095967,0.05040847167132866,0.04808192682495966,0.0,0.05208875406037296,0.045025872153881714,0.046135753596330334,0.04893185987489581,0.04012241866812512,0.04264128396118766,0.04409493536793948,0.043407295050310796,0.048230327833678664,0.04696527005443464,0.05594718028706726
System,AT,Processing of dairy products,0.3368275704462848,0.3038052596182177,0.2775269418465868,0.2537741969115845,0.25262067783471365,0.2916433841669052,0.29024503410796887,0.3259621649480176,0.31091775733503224,0.0,0.33682757044628486,0.29115603547051744,0.29833299096670945,0.3164137782980252,0.25944826372213836,0.2757362954143606,0.28513621062532035,0.2806896420385707,0.31187738004285637,0.3036969897466503,0.3617777608497134
System,AT,Processed rice,0.0003720378982197476,0.0003355635944727136,0.00030653826825148225,0.0002803025260559743,0.00027902842366481077,0.00032213037528783033,0.0003205858484659528,0.00036003667569653,0.00034341959835669023,0.0,0.0003720378982197477,0.0003215920815119853,0.000329519281280348,0.00034949014681249027,0.0002865697324125084,0.00030456043628773456,0.00031494297324542996,0.0003100315818497897,0.0003444795353886553,0.00033544400659157587,0.0003995962610508402
