Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Cultivation of wheat,0.024056679063447762,0.02448683385386342,0.022084199969134438,0.019996263051410394,0.020581618417344055,0.02390820390996472,0.022438380670452996,0.0262510011518702,0.022544150922318356,3.455078830855232e-05,0.026003247945290804,0.021475042314229194,0.020853246250128535,0.025536224755453325,0.021966262018387528,0.02227860844040083,0.022914463128705632,0.022694404796807864,0.024946941947756932,0.025146563250796672,0.025811941196106553
System,AT,Cultivation of cereal grains nec,0.056930686706073375,0.05853416048326674,0.05228451678438353,0.04736844081001721,0.04869746356100774,0.05696161745976404,0.05341199532931212,0.06309043216402019,0.053899545487978325,8.72920212729651e-05,0.06244667829104848,0.051022223207858236,0.04933005250923492,0.06125222298712867,0.05202939047842785,0.052898669718593284,0.05452403253351896,0.053879196974842725,0.05979455339054711,0.06016628757339076,0.06207339883034036
System,AT,"Cultivation of vegetables, fruit, nuts",0.10352895063434799,0.1003655916392745,0.09244511022924713,0.08267189550359717,0.08554345626211758,0.09814813221361561,0.09295308862103159,0.10638818925333676,0.09195907564741025,0.00024164104360825163,0.10493083339601413,0.0880903487764736,0.08745675926302822,0.1037026860878529,0.0911692226203674,0.09295450002551667,0.09418210711973109,0.09447744275871114,0.10125714049487626,0.10255186426175823,0.10481300224131192
System,AT,Cultivation of oil seeds,0.010256654923992822,0.010671525391761501,0.00947004135796873,0.008617789145925285,0.00886694507590315,0.010392445736658276,0.00970717031186913,0.011470519919887696,0.009705123328756775,2.3297175255421656e-05,0.01131746414465762,0.009276729807894525,0.008780019189978545,0.011143547767554675,0.009518136402151017,0.009649969610700613,0.009918350646288295,0.009765068288733808,0.01086658747159496,0.010968349324110128,0.011186282634078896
System,AT,"Cultivation of sugar cane, sugar beet",0.006533235300764086,0.0062756709134603565,0.0058532904086288735,0.005199678135023639,0.005387510223310675,0.006195973558405396,0.005813253825811918,0.006636504084333599,0.005726120614862837,1.0091709815221392e-05,0.006551927362104216,0.005507983981472995,0.005497662537186206,0.006484428768697164,0.005789812448950687,0.005842287505053673,0.005899959218362822,0.0059818043722529406,0.006345701763887594,0.006422891695415037,0.006480855503120952
System,AT,Cultivation of plant-based fibers,0.00010643837787479401,0.00011495018523188668,0.00010049372158010294,9.386933916268935e-05,9.679027227538522e-05,0.00011008319050041478,0.00010531875735246913,0.00012249282247847986,0.00010486603630504587,1.7510497869571127e-06,0.00012001047658156776,0.00010214112832399846,9.402892272417058e-05,0.0001187765396210429,0.00010102106413087186,0.00010441268954581915,0.00010826863126141738,0.0001024985009798355,0.00011492162325978647,0.00011763061919410254,0.00012083515864059762
System,AT,Cultivation of crops nec,0.02357357369449403,0.023931032588393256,0.02176025106719104,0.019799187449845917,0.02035936714409195,0.023315169663053303,0.022084812944220555,0.025599975749673688,0.02237434448381701,8.460380953361725e-05,0.02544734222744797,0.021294250224469912,0.02097681089383134,0.02491416006818069,0.021440501503721884,0.02183981710705308,0.022598310340614703,0.022261410542020358,0.02433901792666699,0.024550057086031623,0.025459513896985104
System,AT,Cattle farming,0.03686308520195429,0.03542961778655814,0.03269104871678319,0.029471177486542773,0.030202622441346142,0.03463408880124433,0.033058711416090916,0.037660966735009564,0.03333616127680498,0.002064914893036581,0.03751758977627853,0.03176949847595379,0.03176177632358564,0.03670525993612383,0.0319906034445022,0.03273798456513249,0.033313230320750314,0.033348590336611035,0.03596999502885519,0.03606819632562834,0.03794797997116777
System,AT,Pigs farming,0.05432899598537469,0.0523732922938433,0.04790582907495063,0.04340621515765617,0.04432573814219112,0.05096503152433282,0.04886791913326602,0.05584148307076891,0.049608906667295075,0.0031813309445582957,0.05575887845962943,0.047172876865607886,0.04690747728374455,0.05434259900043671,0.046786037627079315,0.048143977475674386,0.04910290513561161,0.04890740230459909,0.053237155782488985,0.05323140996026299,0.056813390729427315
System,AT,Poultry farming,0.03372252264778208,0.032773605966292016,0.030026201014952278,0.027265226291352307,0.027905128343402398,0.03187519268271617,0.030587081069454618,0.034872628017778184,0.03097883815407797,0.0016546262593220493,0.03475929851487654,0.029547225544665698,0.029355574008089264,0.03395020925610163,0.02933880232274318,0.030180431160101915,0.0308547442625628,0.030603034198790412,0.033217754885822695,0.033343062372757554,0.03535481834705605
System,AT,Meat animals nec,0.0050410047122595135,0.005251534439053857,0.00466509214830721,0.004302186591518166,0.0044375728295081825,0.005060809538423696,0.004830854332634791,0.0055817269156561026,0.00480044616106585,3.545283541150273e-05,0.005483389820782405,0.0046583144275331115,0.004381830957294674,0.0054224737953765525,0.004661360863174948,0.00480050007567667,0.004940722451958692,0.004757518635580451,0.005261096152858389,0.005367137633627346,0.005512011316189521
System,AT,Animal products nec,0.00358296433359766,0.0037394642372516698,0.003329950353042041,0.0030729639859523442,0.003172520414588019,0.00360172408091564,0.0034444368898635448,0.003976132833932275,0.0034314392343212444,2.0154684300766354e-05,0.003907373303743034,0.003329419779979683,0.0031481990399680575,0.003861432590517826,0.0033179077194483465,0.0034197804161943037,0.0035296187633633677,0.003392673044786821,0.0037452168468383082,0.003824151092383741,0.003937439021556473
System,AT,Raw milk,0.07386160774356665,0.06929726530750813,0.0653398287601305,0.05827781360352586,0.06010500005455687,0.06814260922446731,0.06505690404418002,0.07310828967846239,0.06505293109797294,0.0021068339647027116,0.07273767904100933,0.06230290862539957,0.06362890770013521,0.07143024740638296,0.06357141025863246,0.06482823805567928,0.06571584947978452,0.0663585412970071,0.07001726596909058,0.07056572142963971,0.07340948799577082
