Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Cultivation of wheat,0.02173078849725372,0.022270173003612708,0.019954902058644378,0.018030286784496283,0.018529301508162864,0.021760956235742347,0.02031517476683703,0.02399896768332206,0.0205032549368839,2.3797921393715004e-05,0.023811941305415932,0.019424379934821514,0.018802094758371225,0.023322897803019254,0.01989833588943964,0.02013164227358263,0.020756331786297832,0.020569236102848963,0.022810962562446094,0.022907533802754104,0.023577579521056626
System,AT,Cultivation of cereal grains nec,0.05119088151494464,0.05305780232262275,0.04697032899699232,0.04257405044247727,0.043663852861319616,0.05166277137694537,0.04819932871524243,0.05738836316164242,0.0487534107933944,6.027088006473315e-05,0.05691601788867135,0.0460497630539657,0.04406881646613495,0.05569145566277668,0.046987469355144224,0.04765121012933331,0.04918917204852695,0.048544683793888016,0.054433119554969316,0.05457846829881512,0.056396839491574265
System,AT,"Cultivation of vegetables, fruit, nuts",0.09484945917608027,0.09195934392991029,0.08469262350255,0.07543504798947802,0.07803654088953457,0.08999549274669205,0.08499952646703147,0.09791924402079977,0.08452144701068723,0.00020688617680562297,0.09665290657140055,0.08044209213247695,0.08038718307012112,0.09534679728377182,0.08333840520480541,0.08488979106745088,0.08615673340161464,0.08670235966191317,0.09315153137853908,0.09410468934299275,0.09654623283099878
System,AT,Cultivation of oil seeds,0.009237167242020528,0.009712441647715524,0.008530294555128149,0.007753069056118916,0.00796183530956967,0.0094625730111254,0.008782251963672778,0.01049774278182394,0.008812415535530036,1.8075741248126056e-05,0.010374464555876683,0.008382565086300555,0.007861860755984421,0.010187524085984008,0.008617841326122281,0.008712947750832718,0.008977435621482859,0.008829797426397902,0.009946440930628167,0.00999916888797359,0.010218558031183485
System,AT,"Cultivation of sugar cane, sugar beet",0.005925668600554886,0.005710274505874916,0.005312872363193335,0.004703069695552119,0.004873278094264805,0.005642039022156193,0.00527256744809777,0.006067810872383851,0.005214026306598813,7.497568331448019e-06,0.00599495734826536,0.004986412419771957,0.004993496720528229,0.005922308549814671,0.005255007388377708,0.0052928290275268425,0.005356214976065256,0.005443273047460283,0.005799967617116127,0.005855760869259825,0.005922025010258988
System,AT,Cultivation of plant-based fibers,9.639753969718705e-05,0.00010641055892692634,9.098208240044177e-05,8.534433624778357e-05,8.774709730927853e-05,0.00010156409724573915,9.664324206790953e-05,0.0001142051284728988,9.648648878597807e-05,1.7053901492038694e-06,0.00011197480519803381,9.367507016851435e-05,8.41919365343976e-05,0.00011049874114706177,9.234696588770014e-05,9.547174534885328e-05,9.930501910947663e-05,9.332330028292011e-05,0.0001069461895527733,0.00010902365535046783,0.00011252680898622257
System,AT,Cultivation of crops nec,0.021350463297299276,0.02180036274778118,0.019724817267537047,0.01789563063295311,0.01837377175858549,0.02125458019563461,0.020038076509826776,0.023457045007061864,0.02042814902243569,7.505571737768679e-05,0.02335933549065201,0.01930478187079176,0.019030581167648455,0.022802027338912047,0.01944572717301141,0.019768696877627424,0.020519176197084658,0.02023340726598021,0.022300803734837032,0.022404531053247446,0.023332064110135112
System,AT,Cattle farming,0.03414714660468745,0.03286466300833186,0.030217436221471473,0.027168061599028175,0.027852947257679294,0.032090258207502574,0.03059123624534377,0.03504525328083333,0.030938863786621175,0.0010469611038337033,0.034939477258329396,0.029391355796155,0.029416714181309,0.03411958799123479,0.029526590220784615,0.030244053903066195,0.03085065009795588,0.030860261240297872,0.03342398867935203,0.03348978361959017,0.03537838186709106
System,AT,Pigs farming,0.050588337756354074,0.048839345812674365,0.04447136105509447,0.04019943154598362,0.04105478665621093,0.04745954246598725,0.045455436386237925,0.0522364375908915,0.04627982186585583,0.0016070639012081215,0.05221025569530521,0.04388118586342519,0.04362361388558243,0.05077923608353856,0.04338099115774671,0.04469575337020502,0.04569713659838103,0.045453162331513315,0.04972833096943565,0.049677580398924864,0.05326677426153869
