Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System,AT,Cultivation of wheat,0.02254924611897061,0.015585508346935574,0.019055700945608975,0.015406077399776157,0.01652757243947278,0.016499448379734587,0.01610232069931811,0.015275295758012345,0.015611016543902732,0.0,0.015346014719854997,0.015048755354821487,0.020294321507073547,0.015374485990207236,0.016911934589227955,0.01674613130894141,0.01624215500153576,0.018673594442272536,0.015346014719854997,0.015802955271901533,0.015659198693729597
System,AT,Cultivation of cereal grains nec,0.053917259548834716,0.037266341158753415,0.045563881308874433,0.03683730575339907,0.0395189004647709,0.03945165332841563,0.03850208560867586,0.036524595178242865,0.037327333533808654,0.0,0.03669369052629029,0.03598291685992147,0.04852553359395124,0.03676176787420549,0.04043794466162603,0.04004149422376697,0.03883644190274975,0.044650230563878755,0.03669369052629029,0.03778627615922433,0.03744254135335746
System,AT,"Cultivation of vegetables, fruit, nuts",0.0933948908042227,0.0645523509970363,0.07892525983455444,0.0638091805323371,0.06845420973718595,0.06833772497869951,0.06669289409822818,0.06326750667382826,0.06465800132600034,0.0,0.06356041179731821,0.062329217379936755,0.08405540172380041,0.06367833463924276,0.07004616810316701,0.0693594409649007,0.06727206243571485,0.07734264394724692,0.06356041179731821,0.06545297675213968,0.064857563058488
System,AT,Cultivation of oil seeds,0.009752704255440675,0.006740839705966351,0.008241721906006208,0.0066632345854808735,0.007148288914499131,0.007136125064956589,0.006964364607941014,0.006606670624653359,0.006751872176843545,0.0,0.006637257062730458,0.006508690339965704,0.008777433829896606,0.006649571083255006,0.007314528191580504,0.007242817130878738,0.0070248439067654355,0.008076458211536809,0.006637257062730458,0.006834886998689981,0.006772711288500471
System,AT,"Cultivation of sugar cane, sugar beet",0.006098344082007539,0.004215031939034624,0.005153530210147219,0.0041665056313715905,0.004469809014653253,0.004462202986834783,0.004354801558561235,0.004131136313618009,0.004221930518312912,0.0,0.004150261944699574,0.0040698694615092686,0.005488509673806785,0.00415796187409605,0.004573758061505653,0.004528917296196776,0.004392619128376717,0.005050191192912494,0.004150261944699574,0.0042738395000954475,0.0042349611680607925
System,AT,Cultivation of plant-based fibers,9.689858361724994e-05,6.697402102956984e-05,8.188612700049295e-05,6.620297065630605e-05,7.10222573103707e-05,7.090140264676823e-05,6.919486622667981e-05,6.56409759987822e-05,6.708363481194228e-05,0.0,6.594486940618397e-05,6.466748694795281e-05,8.720872525552493e-05,6.606721610267042e-05,7.267393771293744e-05,7.196144812751651e-05,6.979576196193001e-05,8.024413955803512e-05,6.594486940618397e-05,6.790843360061368e-05,6.72906830675347e-05
System,AT,Cultivation of crops nec,0.02157199567861853,0.014910055836692224,0.01822985550305792,0.01473840115713835,0.01581129228716926,0.015784387081915992,0.015404470318375201,0.014613287395193193,0.014934458546735908,0.0,0.014680941503504274,0.014396564912637366,0.019414796110756673,0.014708178871785363,0.016178996758963893,0.01602037914367994,0.015538244412074236,0.01786430892135597,0.014680941503504274,0.015118078938703969,0.014980552554596207
System,AT,Cattle farming,0.03208913482570413,0.023123053036169152,0.0291513971303932,0.02390200967325565,0.025707772786501604,0.02347985475051522,0.024450896615862323,0.024843201155383833,0.027769443599167033,0.0,0.02540389840368244,0.024678720215530928,0.037131713155457644,0.0240668511192781,0.02276594024796577,0.023830901598500865,0.025496565047155997,0.028579385704142743,0.02362116869114332,0.0240668511192781,0.029415040256895463
System,AT,Pigs farming,0.046497151722156974,0.03350530050567194,0.04224037022646656,0.0346340085601683,0.03725055905013712,0.03402230613816365,0.035429345660632904,0.0359977948816699,0.04023791975955891,0.0,0.03681024511337428,0.035759462023608,0.05380384699278166,0.03487286379161774,0.03298784412720597,0.03453097297013129,0.03694451906636729,0.04141152575254606,0.03422707001769889,0.03487286379161774,0.04262238907864391
